,dynamic-RLS-opt,E[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift]
Expected Time General,All,6.455528846153842,All,6.723753924646778
5,0,0.0,0,0.0
4,1,5.0,1,5.0
3,1,7.5,1,7.5
2,4,7.5,5,8.326530612244898
1,5,6.115384615384616,5,6.178963893249608
0,5,1.0,5,1.0
