,dynamic-RLS-opt,E[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift]
Expected Time General,All,16.786083759616844,All,16.86626348567555
9,0,0.0,0,0.0
8,1,9.0,1,9.0
7,1,13.500000000000002,1,13.500000000000002
6,1,16.500000000000004,1,16.500000000000004
5,3,18.088235294117652,3,18.088235294117652
4,6,18.088235294117652,7,18.414015439146617
3,9,17.499931538388683,9,17.499943657606064
2,9,14.501158912993963,9,14.501158917200296
1,9,10.022624523748188,9,10.022924890716906
0,9,1.0,9,1.0
