,dynamic-RLS-opt,E[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift]
Expected Time General,All,11.214661970289093,All,11.487025115120662
7,0,0.0,0,0.0
6,1,7.0,1,7.0
5,1,10.5,1,10.5
4,3,12.384615384615383,3,12.384615384615383
3,4,12.384615384615383,7,13.379299301863831
2,7,11.496732722494496,7,11.499028853420738
1,7,8.088895443077595,7,8.088942112405363
0,7,1.0,7,1.0
