,dynamic-RLS-opt,E[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift]
Expected Time General,All,13.998644115246636,All,14.202823057882243
8,0,0.0,0,0.0
7,1,8.0,1,8.0
6,1,12.0,1,12.0
5,1,14.666666666666668,1,14.666666666666668
4,4,15.411764705882355,3,15.714285714285714
3,6,15.11111111111111,8,15.665906160103164
2,8,13.000219988267292,8,13.000339981867633
1,8,9.033456108041744,8,9.036138128306208
0,8,1.0,8,1.0
