,dynamic-RLS-opt,E[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift]
Expected Time General,All,8.77155612244897,All,8.841894577598472
6,0,0.0,0,0.0
5,1,6.0,1,6.0
4,1,8.999999999999998,1,8.999999999999998
3,3,10.099999999999996,3,10.099999999999996
2,4,9.666666666666663,6,9.966777408637872
1,6,7.0632653061224495,6,7.0632653061224495
0,6,1.0,6,1.0
