,dynamic-RLS-opt,E[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift]
Expected Time General,All,1.25,All,1.25
2,0,0.0,0,0.0
1,1,2.0,1,2.0
0,2,1.0,2,1.0
