,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
1000,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
999,1,1000.0,1,1000.0,4.040080104960246e-06,1002.0207431260416,5.9608609865491405e-06,1002.9833808937664,0.001,2716.9225742264093,0.0009997819556689898,2716.9226388861566,0.001,2716.9225742264093,1,1000.0,0.001,2716.9225742264093,0.001,1717.9225742264098
998,1,1499.9999999999998,1,1499.9999999999998,6.56808080562475e-06,1503.6597732936382,5.9608609865491405e-06,1504.470578452258,0.0010025072694096423,4072.6633658858905,0.0010017814171597067,4072.6637864021636,0.001002004008016032,4072.663536942886,1,1499.9999999999998,0.001,4072.6676173164606,0.001,2575.166367816336
997,1,1833.3333333333333,1,1833.3333333333333,5.756551285579699e-06,1837.9485929090858,5.9608609865491405e-06,1838.7933780411574,0.0010045232098571154,4975.130429755205,0.0010037895921194736,4975.131090822725,0.001004016064257028,4975.130715750337,1,1833.3333333333333,0.001,4975.143858171792,0.001,3145.8062239446635
996,1,2083.3333333333335,1,2083.3333333333335,5.819049000178333e-06,2088.6715405320306,5.9608609865491405e-06,2089.533978661665,0.0010065477887578908,5650.960285389347,0.0010058065401138835,5650.961129443844,0.001006036217303823,5650.960658528137,1,2083.3333333333335,0.001,5650.988062233529,0.001,3573.1456063149258
995,1,2283.3333333333335,1,2283.3333333333335,4.892827901593345e-06,2289.1567080328,5.9608609865491405e-06,2290.12525991545,0.0010085812369919644,6190.807630098476,0.0010078323215030405,6190.808622611135,0.0010080645161290322,6190.808073898762,1,2283.3333333333335,0.001,6190.855019976021,0.001,3914.505953710485
994,1,2450.0000000000005,1,2450.0000000000005,3.7239577546892427e-06,2456.1303529631855,5.9608609865491405e-06,2457.2836616033446,0.0010106236163000735,6639.999811694344,0.0010098669974697642,6640.000929654068,0.00101010101010101,6640.000315334519,1,2450.0000000000005,0.001,6640.0721213608,0.001,4198.547982187207
993,1,2592.8571428571436,1,2592.8571428571436,4.978426634395457e-06,2599.3386896543007,5.9608609865491405e-06,2600.5614350401115,0.0010126749890152023,7024.438171055103,0.0010119106300031891,7024.439398032297,0.0010121457489878543,7024.438726952521,1,2592.8571428571436,0.001,7024.540727576418,0.001,4441.649240929274
992,1,2717.8571428571436,1,2717.8571428571436,4.808702688561144e-06,2724.634886145235,5.9608609865491405e-06,2725.928737297477,0.0010147354180718663,7360.311045587244,0.0010139632819306352,7360.312369265657,0.0010141987829614604,7360.311648187998,1,2717.8571428571436,0.001,7360.449185440903,0.001,4654.045695695119
991,1,2828.9682539682544,1,2828.9682539682544,4.6407940810711615e-06,2835.9995578411867,5.9608609865491405e-06,2837.3656730899243,0.0010168049670134479,7658.410659653169,0.001016025016867353,7658.4120704586285,0.0010162601626016261,7658.411304760156,1,2828.9682539682544,0.001,7658.589722691651,0.001,4842.561321460012
990,1,2928.9682539682544,1,2928.9682539682544,4.47437782259874e-06,2936.219117830786,5.9608609865491405e-06,2937.6583157175914,0.0010188836999997573,7926.291569784876,0.001018095899285948,7926.293060062423,0.0010183299389002036,7926.292254155159,1,2928.9682539682544,0.001,7926.5168956303305,0.001,5011.972898737319
989,1,3019.877344877346,1,3019.877344877346,4.309190214294562e-06,3027.3200361553727,5.9608609865491405e-06,3028.832900307854,0.0010209716818146777,8169.447998436768,0.0010201759944480822,8169.449561927135,0.0010204081632653062,8169.448719525807,1,3019.877344877346,0.001,8169.724924201827,0.001,5165.754447935513
988,1,3103.2106782106794,1,3103.2106782106794,4.145014388495757e-06,3110.822156161592,5.9608609865491405e-06,3112.409103206241,0.0010230689778739153,8392.000612008276,0.0010222653684962444,8392.002243498699,0.0010224948875255625,8392.001367799698,1,3103.2106782106794,0.001,8392.33447079029,0.001,5306.511482733061
987,1,3180.133755133756,1,3180.133755133756,3.981669098161906e-06,3187.894581051159,5.9608609865491405e-06,3189.5559062170064,0.0010251756542328612,8597.11915347296,0.0010243640883551518,8597.12084855546,0.0010245901639344263,8597.119942361145,1,3180.133755133756,0.001,8597.515273324301,0.001,5436.248242924484
986,1,3251.562326562327,1,3251.562326562327,4.256029440930174e-06,3259.471096711924,5.9608609865491405e-06,3261.1917950434913,0.0010272917775945832,8787.294134782998,0.0010264722218311496,8787.295889681702,0.001026694045174538,8787.294955489591,1,3251.562326562327,0.001,8787.757837987328,0.001,5556.539486964221
985,1,3318.2289932289937,1,3318.2289932289937,4.101537136741931e-06,3326.270550920438,5.9608609865491405e-06,3328.0515582483704,0.0010294174153179527,8964.517965138844,0.001028589837540973,8964.519776583245,0.00102880658436214,8964.518816651773,1,3318.2289932289937,0.001,8965.054567691304,0.001,5668.6450203291915
984,1,3380.7289932289937,1,3380.7289932289937,3.946155985309614e-06,3388.8900697205318,5.9608609865491405e-06,3390.7322115388156,0.0010315526354258689,9130.409476674473,0.0010307170049706446,9130.41134180445,0.0010309278350515464,9130.410358202636,1,3380.7289932289937,0.001,9131.02428790217,0.001,5773.588433768006
983,1,3439.552522640758,1,3439.552522640758,3.7910429735981197e-06,3447.8214367097917,5.9608609865491405e-06,3449.7254149089695,0.0010336975066135665,9286.301824941158,0.0010328537944447793,9286.303741234275,0.0010330578512396695,9286.302735880026,1,3439.552522640758,0.001,9287.0001472226,0.001,5872.212683241595
982,1,3495.1080781963137,1,3495.1080781963137,3.627192274954542e-06,3503.4742297915977,5.9608609865491405e-06,3505.4408850206155,0.0010358520982571681,9433.305972590168,0.0010350002771463117,9433.307937805099,0.0010351966873706005,9433.306912495353,1,3495.1080781963137,0.001,9434.093101146129,0.001,5965.220230991396
981,1,3547.739657143682,1,3547.739657143682,3.430450280233515e-06,3556.1927453376966,5.9608609865491405e-06,3558.2236464310486,0.0010380164804222485,9572.357466823085,0.0010371565251136093,9572.359478954953,0.001037344398340249,9572.358435389762,1,3547.739657143682,0.001,9573.238689560187,0.001,6053.202623168541
980,1,3597.739657143682,1,3597.739657143682,6.56563442979795e-06,3606.3506445501207,5.9608609865491405e-06,3608.366970013965,0.0010401907238725553,9704.251522479604,0.0010393226112560352,9704.25357972422,0.0010395010395010396,9704.25251952634,1,3597.739657143682,0.001,9705.232119873326,0.001,6136.662673055715
979,1,3645.3587047627293,1,3645.3587047627293,6.367523684741479e-06,3654.1152159461185,5.9608609865491405e-06,3656.1222308039632,0.0010423749000789911,9829.669752009142,0.001041498609352604,9829.671852734005,0.0010416666666666667,9829.670777465062,1,3645.3587047627293,0.001,9830.754997016902,0.001,6216.031362569513
978,1,3690.8132502172753,1,3690.8132502172753,6.169301855947293e-06,3699.7040559204847,5.9608609865491405e-06,3701.7065254218346,0.0010445690812284291,9949.200820448837,0.0010436845940531621,9949.202963169439,0.0010438413361169101,9949.201874343398,1,3690.8132502172753,0.001,9950.39597844636,0.001,6291.68090251225
977,1,3734.2915110868403,1,3734.2915110868403,5.970949735548756e-06,3743.3063737438506,5.9608609865491405e-06,3745.308633537829,0.0010467733402330472,10063.356610188981,0.0010458806408960679,10063.358793549194,0.0010460251046025104,10063.357692643805,1,3734.2915110868403,0.001,10064.666938924773,0.001,6363.934953638569
976,1,3775.958177753507,1,3775.958177753507,5.773477979190386e-06,3785.087747650983,5.9608609865491405e-06,3787.0937373634188,0.0010489877507395594,10172.585018078915,0.0010480868262851316,10172.58724083465,0.0010482180293501049,10172.58612930125,1,3775.958177753507,0.001,10174.015767643183,0.001,6433.076718333159
975,1,3815.958177753507,1,3815.958177753507,5.5573419572053426e-06,3825.1935137451,5.9608609865491405e-06,3827.2071972446956,0.0010512123871385553,10277.28019311178,0.0010503032275248243,10277.282454117229,0.0010504201680672268,10277.281333389226,1,3815.958177753507,0.001,10278.83660591681,0.001,6499.355413952919
974,1,3854.4197162150454,1,3854.4197162150454,5.30444298452512e-06,3863.751909876552,5.9608609865491405e-06,3865.77760118013,0.0010534473245742682,10377.790805323677,0.0010525299228286728,10377.793103519638,0.0010526315789473684,10377.791975020009,1,3854.4197162150454,0.001,10379.478116093527,0.001,6562.991501295613
973,1,3891.4567532520823,1,3891.4567532520823,4.939108837739536e-06,3900.875599985147,5.9608609865491405e-06,3902.919249612802,0.001055692638954136,10474.42678341521,0.0010547669912822153,10474.429117819187,0.0010548523206751054,10474.427982967034,1,3891.4567532520823,0.001,10476.250219182944,0.001,6624.180944833585
972,1,3927.1710389663676,1,3927.1710389663676,4.567216411394869e-06,3936.666980038054,5.9608609865491405e-06,3938.734196509749,0.0010579484069587084,10567.464849226311,0.0010567252033087866,10567.467244559335,0.0010570824524312897,10567.466079140457,1,3927.1710389663676,0.001,10569.429629337435,0.001,6683.098712191419
971,1,3961.6537975870574,1,3961.6537975870574,5.6526188494210634e-06,3971.2417000163205,5.9608609865491405e-06,3973.3139385310756,0.0010602147060518275,10657.153097991213,0.0010589816744937112,10657.15555232293,0.001059322033898305,10657.154358842752,1,3961.6537975870574,0.001,10659.264434112309,0.001,6739.901670265378
970,1,3994.9871309203904,1,3994.9871309203904,5.4430654420831865e-06,4004.660444488334,5.9608609865491405e-06,4006.7408226708735,0.0010624916144906344,10743.71481521765,0.0010612488943328032,10743.717327079527,0.0010615711252653928,10743.716107648359,1,3994.9871309203904,0.001,10745.977911349197,0.001,6794.730998656284
969,1,4027.245195436519,1,4027.245195436519,5.13381384433664e-06,4036.99629515581,5.9608609865491405e-06,4039.08922685929,0.0010647792113360702,10827.351677940276,0.001063820610658788,10827.354222311487,0.0010638297872340426,10827.353002657595,1,4027.245195436519,0.001,10829.771730433136,0.001,6847.714213838971
968,1,4058.495195436519,1,4058.495195436519,4.793035185626153e-06,4068.316490932009,5.9608609865491405e-06,4070.4265560955223,0.0010670775764632823,10908.246455778302,0.001066110763418922,10908.249032335782,0.0010660980810234541,10908.247813554599,1,4058.495195436519,0.001,10910.828653353185,0.001,6898.966877055303
967,1,4088.7982257395497,1,4088.7982257395497,4.451354239974272e-06,4098.682595697561,5.9608609865491405e-06,4100.8140876515645,0.0010693867905724346,10986.565302741907,0.0010684117832153663,10986.567910816844,0.0010683760683760685,10986.566694414108,1,4088.7982257395497,0.001,10989.31482651141,0.001,6948.594043435465
966,1,4118.209990445432,1,4118.209990445432,4.108729878285847e-06,4128.15074069467,5.9608609865491405e-06,4130.3076919813,0.0010717069351994914,11062.459712008296,0.0010707237556407197,11062.462350969767,0.0010706638115631692,11062.461138477758,1,4118.209990445432,0.001,11065.381735501147,0.001,6996.691498013204
965,1,4146.781419016861,1,4146.781419016861,3.765121918451523e-06,4156.772245450062,5.9608609865491405e-06,4158.958450642561,0.0010740380927272899,11136.068191444036,0.0010730467672210118,11136.070860693579,0.001072961373390558,11136.069653676672,1,4146.781419016861,0.001,11139.167880631172,0.001,7043.346815167432
964,1,4174.559196794638,1,4174.559196794638,3.4204922492048963e-06,4184.594152442722,5.9608609865491405e-06,4186.813188396692,0.0010763803463966803,11207.517706415903,0.001075380905455607,11207.520405384523,0.001075268817204301,11207.51920544253,1,4174.559196794638,0.001,11210.800219738205,0.001,7088.640270919168
963,1,4201.586223821665,1,4201.586223821665,6.4081381256251305e-06,4211.701518647185,5.9608609865491405e-06,4213.91493340277,0.0010787337803179792,11276.92492762734,0.0010777262587967477,11276.927655772797,0.0010775862068965517,11276.926464544184,1,4201.586223821665,0.001,11280.395416024732,0.001,7132.645631945102
962,1,4227.90201329535,1,4227.90201329535,6.0615868834111384e-06,4238.091130407306,5.9608609865491405e-06,4240.303316859942,0.0010810984794825884,11344.397314765809,0.0010800829166809662,11344.400071570235,0.0010799136069114472,11344.398890735203,1,4227.90201329535,0.001,11348.060921707587,0.001,7175.430840773558
961,1,4253.543038936376,1,4253.543038936376,5.713705216549605e-06,4263.799803364986,5.9608609865491405e-06,4266.014921413576,0.0010834745297746543,11410.03406122107,0.0010824509695219718,11410.036846188781,0.0010822510822510823,11410.03567747231,1,4253.543038936376,0.001,11413.895922737269,0.001,7217.0586131348355
960,1,4278.543038936376,1,4278.543038936376,5.346869452326092e-06,4288.861384182432,5.9608609865491405e-06,4291.083586010636,0.0010858620179830826,11473.926920713568,0.0010848305087179473,11473.929733369141,0.0010845986984815619,11473.928578543891,1,4278.543038936376,0.001,11477.992165427278,0.001,7257.58696064272
959,1,4302.933282838815,1,4302.933282838815,4.780182661019053e-06,4313.305213616628,5.9608609865491405e-06,4315.540673577579,0.0010882610419309536,11536.160933114563,0.0010872216266631376,11536.163773001066,0.0010869565217391304,11536.162633890252,1,4302.933282838815,0.001,11540.434682275043,0.001,7297.069649734377
958,1,4326.742806648339,1,4326.742806648339,4.2115030084179575e-06,4337.160716042225,5.9608609865491405e-06,4339.415306831824,0.0010906716652781673,11596.815063859016,0.0010896261695635284,11596.817930444711,0.0010893246187363835,11596.816809016611,1,4326.742806648339,0.001,11601.302431375512,0.001,7335.556605974497
957,1,4349.9986206018275,1,4349.9986206018275,3.641206255949504e-06,4360.455266862103,5.9608609865491405e-06,4362.734576673302,0.0010930939941415855,11655.96276900816,0.0010920571957908816,11655.965661037884,0.001091703056768559,11655.964560055792,1,4349.9986206018275,0.001,11660.66886148438,0.001,7373.094271347353
956,1,4372.7258933291005,1,4372.7258933291005,6.3654215115151916e-06,4383.248628002053,5.9608609865491405e-06,4385.523726895129,0.0010955281187865254,11713.672496100384,0.001094478541960194,11713.675413453406,0.0010940919037199124,11713.674334619214,1,4372.7258933291005,0.001,11718.602412869554,0.001,7409.725920947468
955,1,4394.948115551323,1,4394.948115551323,5.7494075894558205e-06,4405.529073782273,5.9608609865491405e-06,4407.806318370876,0.0010979741303327217,11770.008129352029,0.0010969311218165425,11770.011070956956,0.0010964912280701754,11770.010016997752,1,4394.948115551323,0.001,11775.166962512405,0.001,7445.49194448241
954,1,4416.687245986105,1,4416.687245986105,4.967938162916278e-06,4427.317301030357,5.9608609865491405e-06,4429.604375395407,0.001100432120755939,11825.029386466746,0.0010993953297356092,11825.032351343905,0.001098901098901099,11825.031324971214,1,4416.687245986105,0.001,11830.422220917619,0.001,7480.430097177488
953,1,4437.963841730786,1,4437.963841730786,5.4693816407889985e-06,4448.646691018411,5.9608609865491405e-06,4450.938516457529,0.0011029021828892324,11878.79217323112,0.0011018716687701668,11878.795160445725,0.0011013215859030838,11878.794164404024,1,4437.963841730786,0.001,11884.424086709198,0.001,7514.575723988404
952,1,4458.797175064119,1,4458.797175064119,4.966265665918568e-06,4469.526852021891,5.9608609865491405e-06,4471.828071390498,0.0011053844104237697,11931.348901173209,0.0011043602314033032,11931.351909833289,0.0011037527593818985,11931.350946903838,1,4458.797175064119,0.001,11937.224964289382,0.001,7547.961960458462
951,1,4479.205338329425,1,4479.205338329425,4.413757492746053e-06,4489.975687366445,5.9608609865491405e-06,4492.291186568393,0.001107878897910038,11982.748772806939,0.0011069374743987578,11982.751799003332,0.0011061946902654867,11982.750875066036,1,4479.205338329425,0.001,11988.874049083357,0.001,7580.619913080087
950,1,4499.205338329424,1,4499.205338329424,3.858881476845535e-06,4510.010452534304,5.9608609865491405e-06,4512.344919582846,0.0011103857407581386,12033.038038352057,0.0011095328275878599,12033.041078535436,0.0011086474501108647,12033.040199193736,1,4499.205338329424,0.001,12039.417584259536,0.001,7612.578821620234
949,1,4518.813181466679,1,4518.813181466679,6.634951310734712e-06,4529.676816222583,5.9608609865491405e-06,4532.005324637749,0.0011129050555150409,12082.260227285422,0.0011121420619988275,12082.263278349526,0.0011111111111111111,12082.262448849155,1,4518.813181466679,0.001,12088.899092281099,0.001,7643.866205531503
948,1,4538.043950697449,1,4538.043950697449,6.0759362085458625e-06,4548.960015119322,5.9608609865491405e-06,4551.287529732919,0.0011154369147699816,12130.456357627787,0.0011147652325425581,12130.459416889269,0.0011135857461024498,12130.45864214044,1,4538.043950697449,0.001,12137.359584193027,0.001,7674.5079962852615
947,1,4556.911875225751,1,4556.911875225751,5.513866518463368e-06,4567.874509965666,5.9608609865491405e-06,4570.205806566302,0.0011179814283348046,12177.66512548647,0.0011174023946347717,12177.668190669388,0.0011160714285714285,12177.667475264443,1,4556.911875225751,0.001,12184.837749165017,0.001,7704.528657220531
946,1,4575.430393744269,1,4575.430393744269,4.674785307614001e-06,4586.431684958743,5.9608609865491405e-06,4588.7736339637295,0.0011205386970345385,12223.923077047815,0.001120053604200917,12223.926146268464,0.0011185682326621924,12223.925494499226,1,4575.430393744269,0.001,12231.370126484138,0.001,7733.951292295699
945,1,4593.612211926087,1,4593.612211926087,3.757112092653496e-06,4604.643930451306,5.9608609865491405e-06,4607.003755542355,0.0011231088228034483,12269.264764933936,0.0011227189176806116,12269.267836686058,0.0011210762331838565,12269.267252560856,1,4593.612211926087,0.001,12276.991261911786,0.001,7762.7977449537475
944,1,4611.46935478323,1,4611.46935478323,6.168614500619561e-06,4622.550062801628,5.9608609865491405e-06,4624.908232225556,0.0011256919087006465,12313.722890599056,0.0011253983920360413,12313.725963739356,0.0011235955056179776,12313.725450999833,1,4611.46935478323,0.001,12321.73385008018,0.001,7791.088688160214
943,1,4629.0132144323525,1,4629.0132144323525,5.151670380372415e-06,4640.1340126411305,5.9608609865491405e-06,4642.498490151268,0.001128288058925669,12357.328434234854,0.0011280920847251486,12357.33150796881,0.0011261261261261261,12357.331070106478,1,4629.0132144323525,0.001,12365.628864397924,0.001,7818.843706543067
942,1,4646.254593742698,1,4646.254593742698,5.598239157500215e-06,4657.418115909151,5.9608609865491405e-06,4659.785364450294,0.0011308973788341768,12400.11077347717,0.001130800053734857,12400.113847345077,0.001128668171557562,12400.1134876177,1,4646.254593742698,0.001,12408.705675756803,0.001,7846.081371451563
941,1,4663.20374628507,1,4663.20374628507,5.240367519742572e-06,4674.406489655683,5.9608609865491405e-06,4676.779139314579,0.0011335199749548635,12442.097792052722,0.0011335223575902817,12442.10086591599,0.0011312217194570137,12442.100587363791,1,4663.20374628507,0.001,12450.992161178712,0.001,7872.819309654192
