,E[dynamic-RLS-opt],E[dynamic-RLS-drift],E[dynamic-(1+1){>0}-p-opt],E[dynamic-(1+1){>0}-p-drift],E[dynamic-(1+1)-p-opt],E[dynamic-(1+1)-p-drift],E[dynamic-(1+1)-Baeck],E[static-RLS-1],E[static-(1+1)-1/n],E[static-(1+1)-p*],(1+1)-p*,E[old-1+1{>0}]
100,432.35715093205295,432.5806535421427,435.7102605497036,436.17328727631144,1004.7217266697684,1004.9983782737672,1007.2622294928236,449.4230337079514,1069.5384972597178,1057.1514825221814,0.011703501227204557,678.0528170258906
500,2974.047700868689,2974.294892879786,2985.93302742565,2987.6130977610624,7187.909525266162,7188.171693905475,7202.037225959764,3049.838124711822,7509.335324373973,7460.119158998747,0.0022495855041173994,4749.570076170085
1000,6643.960055202911,6644.202289298384,6675.687728640136,6680.857050976192,16253.23149736882,16253.483291071285,16282.364353981231,6792.323679977325,16894.68929638156,16806.029861756248,0.0011106250287576142,10682.589339175114
