,E[dynamic-RLS-opt],E[dynamic-RLS-drift],E[dynamic-(1+1){>0}-p-opt],E[dynamic-(1+1){>0}-p-drift],E[dynamic-(1+1)-p-opt],E[dynamic-(1+1)-p-drift],E[dynamic-(1+1)-Baeck],E[static-RLS-1],E[static-(1+1)-1/n],E[old-1+1{>0}]
100,432.35715093205295,432.5806535421427,435.7102605497036,436.17328727631144,1004.7217266697684,1004.9983782737672,1007.2622294928236,449.4230337079514,1069.5384972597178,678.0528170258906
500,2974.047700868689,2974.294892879786,2985.93302742565,2987.6130977610624,7187.909525266162,7188.171693905475,7202.037225959764,3049.838124711822,7509.335324373973,4749.570076170085
1000,6643.960055202911,6644.202289298384,6675.687728640136,6680.857050976192,16253.23149736882,16253.483291071285,16282.364353981231,6792.323679977325,16894.68929638156,10682.589339175114
1500,10575.677710654418,10575.922791684068,10634.562349610289,10646.628685752092,26029.50920639099,26029.779014706088,26073.802590725758,10796.43325158236,26990.829477245188,17064.768922517615
2000,14677.368434117547,14677.617204297358,14780.151660102967,14720.47727885118,36267.53339000048,,36327.06107843938,14970.441846117506,37548.64560472871,23738.72490623203
2500,18905.434467518775,18905.689140244005,18952.819361935635,,46848.9261342028,46849.26614255872,46923.732567078936,19270.786205138917,48449.791333682086,30629.674503645983
3000,23234.203837634675,23234.45694476864,23291.09325685644,,57703.95872106122,57704.68378611689,57794.074075819895,23671.808128485805,59624.55215010113,37693.5615073401
