,dynamic-(1+1)-p-opt,E[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift]
Expected Time General,All,18.216899615683015,All,18.61619801510082
6,0,0.0,0,0.0
5,0.16666666666666666,14.929919999999996,0.16666616817494734,14.915832937546023
4,0.28016887906017374,19.155847413994316,0.19999516502988984,19.52618046242203
3,0.49999999999999983,20.041692327723396,0.49999999999999994,20.28306319216201
2,0.7364787182010749,19.50339850928874,1,20.52618046242203
1,1,15.929919999999996,1,15.915832937546023
