,dynamic-(1+1)-p-opt,E[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift]
Expected Time General,All,41.731611445273295,All,42.17018722221271
10,0,0.0,0,0.0
9,0.1,25.811747917131964,0.10000156198051965,25.811743348731554
8,0.13432483048199667,35.72006405326614,0.12499959575166131,35.7509106032183
7,0.19134640606393713,40.698573053551776,0.16897965738624074,40.77476947559898
6,0.3092668949046882,42.980670143516996,0.19999516502988984,43.43183196472736
5,0.5000000000000008,43.52147631640695,0.5000000000000001,43.794209503778696
4,0.6949190376486559,43.171995724274545,1,44.43183196472736
3,1,41.698573053551776,1,41.77476947559898
2,1,36.72006405326614,1,36.7509106032183
1,1,26.811747917131964,1,26.811743348731554
