,dynamic-(1+1)-p-opt,E[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift]
Expected Time General,All,5.0625,All,6.056897268419883
3,0,0.0,0,0.0
2,0.3333333333333333,6.749999999999998,0.19999516502988984,7.575863024559843
1,0.6666666666666667,6.749999999999999,1,8.575863024559844
