,dynamic-(1+1)-p-opt,E[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift]
Expected Time General,All,29.29286594004162,All,29.720060233375403
8,0,0.0,0,0.0
7,0.125,20.371997576325704,0.1249997529242907,20.37166551479769
6,0.18293357660969672,27.471796043765085,0.1666654739498175,27.51291586340001
5,0.2967033840246269,30.426215276673283,0.19999516502988984,30.843096142007326
4,0.5000000000000003,31.097358336878834,0.5000000000000002,31.360553075030275
3,0.7108784851529433,30.677107176845997,1,31.843096142007326
2,1,28.471796043765085,1,28.51291586340001
1,1,21.371997576325704,1,21.37166551479769
