,dynamic-(1+1)-p-opt,E[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift]
Expected Time General,All,13.32367578940059,All,14.195476551139894
5,0,0.0,0,0.0
4,0.2,12.207031249999995,0.19999607248695597,12.135926189248293
3,0.3682960396710104,14.964365638040961,0.19999516502988984,15.894799387199695
2,0.63170396032898,14.964365638040961,1,16.894799387199697
1,1,13.207031249999995,1,13.135926189248293
