,"""optimal""",optimal
750,751.0,749.0
751,703.0,721.0
752,661.0,691.0
753,621.0,663.0
754,583.0,635.0
755,549.0,607.0
756,517.0,579.0
757,487.0,551.0
758,459.0,525.0
759,433.0,501.0
760,409.0,477.0
761,385.0,453.0
762,365.0,429.0
763,345.0,409.0
764,325.0,387.0
765,309.0,367.0
766,293.0,349.0
767,277.0,331.0
768,263.0,313.0
769,249.0,297.0
770,237.0,283.0
771,225.0,267.0
772,215.0,255.0
773,203.0,241.0
774,195.0,229.0
775,185.0,219.0
776,177.0,207.0
777,169.0,197.0
778,161.0,187.0
779,153.0,179.0
780,147.0,171.0
781,141.0,163.0
782,135.0,155.0
783,129.0,147.0
784,123.0,141.0
785,119.0,135.0
786,113.0,129.0
787,109.0,123.0
788,105.0,119.0
789,101.0,113.0
790,97.0,109.0
791,93.0,105.0
792,91.0,101.0
793,87.0,97.0
794,83.0,93.0
795,81.0,89.0
796,77.0,85.0
797,75.0,83.0
798,73.0,79.0
799,71.0,77.0
800,67.0,73.0
801,65.0,71.0
802,63.0,69.0
803,61.0,67.0
804,59.0,65.0
805,57.0,63.0
806,55.0,61.0
807,55.0,59.0
808,53.0,57.0
809,51.0,55.0
810,49.0,53.0
811,49.0,51.0
812,47.0,49.0
813,45.0,49.0
814,45.0,47.0
815,43.0,45.0
816,41.0,45.0
817,41.0,43.0
818,39.0,41.0
819,39.0,41.0
820,37.0,39.0
821,37.0,39.0
822,35.0,37.0
823,35.0,37.0
824,33.0,35.0
825,33.0,35.0
826,33.0,33.0
827,31.0,33.0
828,31.0,31.0
829,29.0,31.0
830,29.0,31.0
831,29.0,29.0
832,27.0,29.0
833,27.0,29.0
834,27.0,27.0
835,25.0,27.0
836,25.0,27.0
837,25.0,25.0
838,25.0,25.0
839,23.0,25.0
840,23.0,23.0
841,23.0,23.0
842,23.0,23.0
843,21.0,23.0
844,21.0,21.0
845,21.0,21.0
846,21.0,21.0
847,19.0,21.0
848,19.0,21.0
849,19.0,19.0
850,19.0,19.0
851,19.0,19.0
852,17.0,19.0
853,17.0,19.0
854,17.0,17.0
855,17.0,17.0
856,17.0,17.0
857,17.0,17.0
858,15.0,17.0
859,15.0,17.0
860,15.0,15.0
861,15.0,15.0
862,15.0,15.0
863,15.0,15.0
864,15.0,15.0
865,15.0,15.0
866,13.0,15.0
867,13.0,13.0
868,13.0,13.0
869,13.0,13.0
870,13.0,13.0
871,13.0,13.0
872,13.0,13.0
873,13.0,13.0
874,11.0,13.0
875,11.0,11.0
876,11.0,11.0
877,11.0,11.0
878,11.0,11.0
879,11.0,11.0
880,11.0,11.0
881,11.0,11.0
882,11.0,11.0
883,11.0,11.0
884,11.0,11.0
885,9.0,11.0
886,9.0,9.0
887,9.0,9.0
888,9.0,9.0
889,9.0,9.0
890,9.0,9.0
891,9.0,9.0
892,9.0,9.0
893,9.0,9.0
894,9.0,9.0
895,9.0,9.0
896,9.0,9.0
897,9.0,9.0
898,9.0,9.0
899,7.0,9.0
900,7.0,7.0
901,7.0,7.0
902,7.0,7.0
903,7.0,7.0
904,7.0,7.0
905,7.0,7.0
906,7.0,7.0
907,7.0,7.0
908,7.0,7.0
909,7.0,7.0
910,7.0,7.0
911,7.0,7.0
