	Expected time	k^*
Expected Time General	45932.96777747353	All
1	5501.0	5500
2	8251.000000009022	5500
3	10084.33333334837	5500
4	11459.333333352883	5500
5	12559.333333356491	5500
6	13476.000000026166	5500
7	14261.714285743028	5500
8	14949.214285745284	5500
9	15560.3253968584	5500
10	16110.325396860206	5500
11	16610.325396861845	5500
12	17068.65873019668	5500
13	17491.73565327499	5500
14	17884.592796133424	5500
15	18251.259462801292	5500
16	18595.00946280242	5500
17	18918.53887456819	5500
18	19224.094430124747	5500
19	19513.568114336224	5500
20	19788.568114337126	5500
21	20050.472876242748	5500
22	20300.472876243566	5500
23	20539.60331102696	5500
24	20768.769977694377	5500
25	20988.769977695098	5500
26	21200.308439234253	5500
27	21404.012142938624	5500
28	21600.44071436784	5500
29	21790.095886782252	5500
30	21973.429220116188	5500
31	22150.84857495548	5500
32	22322.723574956042	5500
33	22489.390241623256	5500
34	22651.154947506137	5500
35	22808.29780464951	5500
36	22961.07558242779	5500
37	23109.72423107693	5500
38	23254.46107318267	5500
39	23395.48671420877	5500
40	23532.98671420922	5500
41	23667.13305567307	5500
42	23798.08543662588	5500
43	23925.992413370484	5500
44	24050.992413370896	5500
45	24173.21463559352	5500
46	24292.779852985215	5500
47	24409.801129581345	5500
48	24524.384462915055	5500
49	24636.62936087461	5500
50	24746.629360874973	5500
51	24854.472498130228	5500
52	24960.241728899808	5500
53	25064.01531380581	5500
54	25165.867165657994	5500
55	25265.86716565832	5500
56	25364.081451372935	5500
57	25460.572679443427	5500
58	25555.40026565063	5500
59	25648.620604633983	5500
60	25740.28727130095	5500
61	25830.451205727473	5500
62	25919.160883147117	5500
63	26006.46247044899	5500
64	26092.399970449274	5500
65	26177.015355064937	5500
66	26260.348688398546	5500
67	26342.43824063762	5500
68	26423.32059357906	5500
69	26503.03073850686	5500
70	26581.602167078545	5500
71	26659.066955811195	5500
72	26735.455844700333	5500
73	26810.798310454007	5500
74	26885.122634778578	5500
75	26958.455968112154	5500
76	27030.824389165024	5500
77	27102.25296059383	5500
78	27172.76578110688	5500
79	27242.386034271665	5500
80	27311.13603427189	5500
81	27379.037268840013	5500
82	27446.11043957194	5500
83	27512.375499813126	5500
84	27577.85169028953	5500
85	27642.557572642687	5500
86	27706.51106101499	5500
87	27769.729451819796	5500
88	27832.22945182	5500
89	27894.02720462919	5500
90	27955.138315740503	5500
91	28015.57787618026	5500
92	28075.360484876113	5500
93	28134.500269822543	5500
94	28193.010908120606	5500
95	28250.905644962902	5500
96	28308.197311629756	5500
97	28364.898342557775	5500
98	28421.020791537554	5500
99	28476.576347093287	5500
100	28531.57634709347	5500
101	28586.03179263821	5500
102	28639.953361265834	5500
103	28693.35141951844	5500
104	28746.236034903224	5500
105	28798.61698728435	5500
106	28850.503779737344	5500
107	28901.905648896394	5500
108	28952.831574822485	5500
109	29003.29029041898	5500
110	29053.290290419143	5500
111	29102.839839968852	5500
112	29151.946982826154	5500
113	29200.619549197996	5500
