	Expected time	k^*
Expected Time General	32130.910699786065	All
1	4001.0	4000
2	6001.000000000785	4000
3	7334.333333334643	4000
4	8334.333333335035	4000
5	9134.33333333535	4000
6	9801.00000000228	4000
7	10372.428571431075	4000
8	10872.428571431272	4000
9	11316.873015875892	4000
10	11716.87301587605	4000
11	12080.509379512558	4000
12	12413.842712846023	4000
13	12721.535020538451	4000
14	13007.24930625285	4000
15	13273.915972919622	4000
16	13523.91597291972	4000
17	13759.210090566872	4000
18	13981.432312789182	4000
19	14191.958628578737	4000
20	14391.958628578817	4000
21	14582.43481905508	4000
22	14764.253000873336	4000
23	14938.166044351665	4000
24	15104.832711018396	4000
25	15264.83271101846	4000
26	15418.678864864674	4000
27	15566.827013012879	4000
28	15709.684155870076	4000
29	15847.615190352886	4000
30	15980.948523686275	4000
31	16109.98078175084	4000
32	16234.980781750888	4000
33	16356.19290296306	4000
34	16473.839961786634	4000
35	16588.125676072395	4000
36	16699.23678718355	4000
37	16807.3448952917	4000
38	16912.60805318648	4000
39	17015.172155750624	4000
40	17115.172155750664	4000
41	17212.73313136046	4000
42	17307.97122659859	4000
43	17400.99448241258	4000
44	17491.90357332171	4000
45	17580.792462210633	4000
46	17667.748983949798	4000
47	17752.855366928554	4000
48	17836.18870026192	4000
49	17917.821353323176	4000
50	17997.821353323205	4000
51	18076.25272587226	4000
52	18153.175802795366	4000
53	18228.647500908603	4000
54	18302.721574982705	4000
55	18375.448847710006	4000
56	18446.877419138607	4000
57	18517.05285773513	4000
58	18586.01837497653	4000
59	18653.814985146048	4000
60	18720.48165181274	4000
61	18786.05542230457	4000
62	18850.571551336852	4000
63	18914.06361482894	4000
64	18976.563614828967	4000
65	19038.10207636745	4000
66	19098.708136973535	4000
67	19158.409629510872	4000
68	19217.23315892266	4000
69	19275.204173415437	4000
70	19332.347030558318	4000
71	19388.685058727355	4000
72	19444.24061428293	4000
73	19499.0351348309	4000
74	19553.08918888498	4000
75	19606.422522218334	4000
76	19659.054101165726	4000
77	19711.002153113797	4000
78	19762.28420439587	4000
79	19812.917115788296	4000
80	19862.917115788317	4000
81	19912.299831837718	4000
82	19961.080319642617	4000
83	20009.273090726976	4000
84	20056.892138346044	4000
85	20103.950961875475	4000
86	20150.46258978247	4000
87	20196.439601276743	4000
88	20241.894146731305	4000
89	20286.83796695604	4000
90	20331.2824114005	4000
91	20375.238455356564	4000
92	20418.716716226147	4000
93	20461.727468914338	4000
94	20504.280660403718	4000
95	20546.38592356163	4000
96	20588.05259022831	4000
97	20629.28970363039	4000
98	20670.10603016102	4000
99	20710.510070565077	4000
100	20750.51007056509	4000
101	20790.114030961144	4000
102	20829.32971723567	4000
103	20868.164668691996	4000
104	20906.62620715355	4000
105	20944.7214452488	4000
106	20982.45729430542	4000
107	21019.840471875526	4000
108	21056.877508912577	4000
109	21093.57475661901	4000
110	21129.938392982665	4000
111	21165.974429018715	4000
112	21201.688714733013	4000
113	21237.08694482152	4000
114	21272.17466411978	4000
115	21306.95727281544	4000
116	21341.440031436145	4000
117	21375.62806562419	4000
118	21409.52637070895	4000
119	21443.139816087114	4000
120	21476.47314942046	4000
121	21509.531000660143	4000
122	21542.317885906057	4000
123	21574.83821110932	4000
124	21607.096275625463	4000
125	21639.096275625478	4000
126	21670.84230737152	4000
127	21702.338370363657	4000
128	21733.58837036367	4000
129	21764.596122301664	4000
130	21795.365353070905	4000
131	21825.899704215954	4000
132	21856.202734518996	4000
133	21886.277922488935	4000
134	21916.128668757603	4000
135	21945.758298387245	4000
136	21975.17006309314	4000
137	22004.367143385123	4000
138	22033.35265063151	4000
139	22062.129629048788	4000
140	22090.701057620226	4000
141	22119.069851946482	4000
142	22147.238866030995	4000
143	22175.210894003034	4000
144	22202.988671780822	4000
145	22230.574878677384	4000
146	22257.97213895137	4000
147	22285.183023305122	4000
148	22312.21005033216	4000
149	22339.05568791606	4000
150	22365.72235458274	4000
151	22392.21242080792	4000
152	22418.52821028161	4000
153	22444.67200113129	4000
154	22470.646027105326	4000
155	22496.45247871824	4000
156	22522.093504359276	4000
157	22547.571211365655	4000
158	22572.88766706187	4000
159	22598.044899766282	4000
160	22623.04489976629	4000
161	22647.88962026319	4000
162	22672.580978287893	4000
163	22697.120855588517	4000
164	22721.511099490966	4000
165	22745.7535237334	4000
166	22769.84990927558	4000
167	22793.802005083973	4000
168	22817.611528893507	4000
169	22841.28016794677	4000
170	22864.809579711484	4000
171	22888.201392576993	4000
172	22911.457206530493	4000
173	22934.57859381374	4000
174	22957.567099560878	4000
175	22980.42424241803	4000
176	23003.151515145313	4000
177	23025.75038520182	4000
178	23048.222295314186	4000
179	23070.56866402928	4000
180	23092.79088625151	4000
181	23114.890333765332	4000
182	23136.86835574336	4000
183	23158.72627924064	4000
184	23180.46540967543	4000
185	23202.087031297062	4000
186	23223.592407641157	4000
187	23244.982781972714	4000
188	23266.259377717404	4000
189	23287.423398881434	4000
190	23308.476030460388	4000
191	23329.418438837358	4000
192	23350.251772170704	4000
193	23370.97716077175	4000
194	23391.59571747279	4000
195	23412.108537985616	4000
196	23432.516701250934	4000
197	23452.821269778862	4000
198	23473.023289980894	4000
199	23493.12379249346	4000
200	23513.12379249347	4000
201	23533.024290005913	4000
202	23552.826270203936	4000
203	23572.53070370148	4000
204	23592.13854683874	4000
205	23611.6507419607	4000
206	23631.068217688862	4000
207	23650.391889186452	4000
