	Expected time	k^*
Expected Time General	55371.00888202919	All
1	6501.0	6500
2	9751.000000005186	6500
3	11917.666666675308	6500
4	13542.6666666779	6500
5	14842.666666679974	6500
6	15926.000000015038	6500
7	16854.571428587948	6500
8	17667.071428589243	6500
9	18389.29365081262	6500
10	19039.293650813655	6500
11	19630.20274172369	6500
12	20171.86940839122	6500
13	20671.869408392016	6500
14	21136.155122678472	6500
15	21569.488456012496	6500
16	21975.738456013147	6500
17	22358.09139719023	6500
18	22719.202508301918	6500
19	23061.30777146036	6500
20	23386.307771460877	6500
21	23695.831580985185	6500
22	23991.2861264402	6500
23	24273.89482209283	6500
24	24544.728155426594	6500
25	24804.728155427012	6500
26	25054.72815542741	6500
27	25295.468896168535	6500
28	25527.61175331176	6500
29	25751.7496843466	6500
30	25968.416351013613	6500
31	26178.09377036879	6500
32	26381.218770369112	6500
33	26578.188467339125	6500
34	26769.36493792767	6500
35	26955.079223642246	6500
36	27135.634779198088	6500
37	27311.31045487404	6500
38	27482.363086453264	6500
39	27649.0297531202	6500
40	27811.52975312046	6500
41	27970.066338486566	6500
42	28124.828243248718	6500
43	28275.99103394663	6500
44	28423.718306674138	6500
45	28568.162751118813	6500
46	28709.467098945122	6500
47	28847.76497128577	6500
48	28983.181637952654	6500
49	29115.834699177354	6500
50	29245.83469917756	6500
51	29373.285679569926	6500
52	29498.285679570126	6500
53	29620.927189004287	6500
54	29741.29755937485	6500
55	29859.479377556854	6500
56	29975.55080612847	6500
57	30089.58589384795	6500
58	30201.654859365368	6500
59	30311.824350890965	6500
60	30420.15768422447	6500
61	30526.71506127382	6500
62	30631.553770951403	6500
63	30734.72837412617	6500
64	30836.290874126327	6500
65	30936.290874126487	6500
66	31034.775722611495	6500
67	31131.79064798478	6500
68	31227.378883279052	6500
69	31321.58178182993	6500
70	31414.438924687223	6500
71	31505.98822046202	6500
72	31596.265998239945	6500
73	31685.307094130498	6500
74	31773.14493196848	6500
75	31859.811598635282	6500
76	31945.33791442489	6500
77	32029.75349884061	6500
78	32113.086832174078	6500
79	32195.365313186867	6500
80	32276.615313186994	6500
81	32356.862226767367	6500
82	32436.130519450428	6500
83	32514.443772462604	6500
84	32591.824724843682	6500
85	32668.2953130791	6500
86	32743.876708428055	6500
87	32818.58935210633	6500
88	32892.45298847008	6500
89	32965.48669633537	6500
90	33037.708918557706	6500
91	33109.137489986395	6500
92	33179.78966389955	6500
93	33249.68213701794	6500
94	33318.83107318827	6500
95	33387.252125819956	6500
96	33454.9604591534	6500
97	33521.97076843186	6500
98	33588.29729904421	6500
99	33653.953864700874	6500
100	33718.953864700976	6500
101	33783.310300344645	6500
102	33847.035790540824	6500
103	33910.14258665743	6500
104	33972.64258665753	6500
105	34034.54734856239	6500
106	34095.86810327946	6500
107	34156.61576683096	6500
108	34216.800952016245	6500
109	34276.43397953928	6500
110	34335.52488863029	6500
111	34394.08344718895	6500
112	34452.11916147475	6500
113	34509.64128536865	6500
114	34566.65882922839	6500
115	34623.18056835892	6500
116	34679.21505111763	6500
117	34734.77060667327	6500
118	34789.85535243607	6500
119	34844.47720117565	6500
120	34898.6438678424	6500
121	34952.36287610695	6500
122	35005.64156463162	6500
123	35058.487093086995	6500
124	35110.90644792579	6500
125	35162.906447925874	6500
126	35214.493749513254	6500
127	35265.67485187554	6500
128	35316.45610187562	6500
129	35366.84369877492	6500
130	35416.843698775	6500
131	35466.46201938577	6500
132	35515.704443628274	6500
133	35564.576624079484	6500
134	35613.08408676613	6500
135	35661.23223491436	6500
