,optimal,"""optimal"""
103,"(2609.3955835852544, 500)","(2617.8010090906096, 497)"
104,"(2614.2032758929454, 500)","(2622.472565166236, 497)"
105,"(2618.965180654849, 500)","(2627.1008786042726, 497)"
106,"(2623.682161786923, 500)","(2631.6867426163344, 497)"
107,"(2628.3550589831843, 500)","(2636.230928787339, 497)"
108,"(2632.984688612813, 500)","(2640.734187854632, 497)"
109,"(2637.571844576115, 500)","(2645.197250452314, 497)"
110,"(2642.1172991215685, 500)","(2649.620827822656, 497)"
111,"(2646.621803626072, 500)","(2654.0056124963194, 497)"
112,"(2651.086089340357, 500)","(2658.352278943007, 497)"
113,"(2655.510868101418, 500)","(2662.6614841940864, 497)"
114,"(2659.8968330136977, 500)","(2666.933868438592, 497)"
115,"(2664.2446591006533, 500)","(2671.1700555940115, 497)"
116,"(2668.5550039282384, 500)","(2675.3706538530605, 497)"
117,"(2672.828508201742, 500)","(2683.9594159416406, 495)"
118,"(2677.065796337334, 500)","(2688.021393086376, 495)"
119,"(2681.2674770096023, 500)","(2692.0506372299847, 495)"
120,"(2685.434143676268, 500)","(2696.047671699648, 495)"
121,"(2689.5663750812255, 500)","(2700.013007371987, 495)"
122,"(2693.664735736962, 500)","(2703.947143064898, 495)"
123,"(2697.729776387368, 500)","(2707.8505659140988, 495)"
124,"(2701.762034451883, 500)","(2711.723751735096, 495)"
125,"(2705.7620344518823, 500)","(2715.5671653712247, 495)"
126,"(2709.730288420136, 500)","(2719.381261028432, 495)"
127,"(2713.6672962941507, 500)","(2723.1664825973817, 495)"
128,"(2717.5735462941498, 500)","(2726.923263963455, 495)"
129,"(2721.4495152863974, 500)","(2730.6520293052004, 495)"
130,"(2725.2956691325503, 500)","(2734.353193381731, 495)"
131,"(2729.112463025679, 500)","(2738.027161809572, 495)"
132,"(2732.900341813557, 500)","(2741.6743313294, 495)"
133,"(2736.659740309797, 500)","(2745.2950900631367, 495)"
134,"(2740.3910835933784, 500)","(2748.889817761787, 495)"
135,"(2744.0947872970814, 500)","(2752.458886044455, 495)"
136,"(2747.771257885316, 500)","(2756.002658628862, 495)"
137,"(2751.4208929218116, 500)","(2762.72607239138, 493)"
138,"(2755.044081327608, 500)","(2766.1698656677077, 493)"
139,"(2758.641203629766, 500)","(2769.5901021978007, 493)"
140,"(2762.212632201194, 500)","(2772.9871020590926, 493)"
141,"(2765.7587314919733, 500)","(2776.361178849577, 493)"
142,"(2769.279858252536, 500)","(2779.712639861511, 493)"
143,"(2772.7763617490386, 500)","(2783.0417862493528, 493)"
144,"(2776.24858397126, 500)","(2786.348913192137, 493)"
145,"(2779.696859833328, 500)","(2789.6343100505123, 493)"
146,"(2783.1215173675737, 500)","(2792.898260518665, 493)"
147,"(2786.522877911791, 500)","(2796.141042771308, 493)"
148,"(2789.9012562901685, 500)","(2799.3629296059294, 493)"
149,"(2793.2569609881543, 500)","(2802.5641885805057, 493)"
150,"(2796.5902943214874, 500)","(2805.745082146815, 493)"
151,"(2799.901552599632, 500)","(2811.4497402067045, 491)"
152,"(2803.1910262838414, 500)","(2814.549177888279, 491)"
153,"(2806.4590001400497, 500)","(2817.629521393562, 491)"
154,"(2809.7057533868024, 500)","(2820.6910045365967, 491)"
155,"(2812.9315598384146, 500)","(2823.733856862987, 491)"
156,"(2816.136688043542, 500)","(2826.7583037531563, 491)"
157,"(2819.3214014193377, 500)","(2829.764566522514, 491)"
158,"(2822.4859583813623, 500)","(2832.752862518629, 491)"
159,"(2825.6306124694115, 500)","(2835.7226973643146, 491)"
160,"(2828.755612469411, 500)","(2838.6744495223093, 491)"
161,"(2831.861202531522, 500)","(2843.7375641812714, 489)"
162,"(2834.947622284608, 500)","(2846.606349296185, 489)"
163,"(2838.015106947184, 500)","(2849.4495625019067, 489)"
164,"(2841.063887434989, 500)","(2852.2685637459144, 489)"
165,"(2844.0941904652914, 500)","(2855.059160049486, 489)"
166,"(2847.106238658062, 500)","(2857.822639381207, 489)"
167,"(2850.100250634109, 500)","(2860.556438326382, 489)"
168,"(2853.0534970795024, 500)","(2863.261544306334, 489)"
169,"(2855.969941740215, 500)","(2867.7071975492886, 487)"
170,"(2858.8530802130435, 500)","(2870.3124588798314, 487)"
171,"(2861.702622303727, 500)","(2872.8895617803746, 487)"
172,"(2864.5188653784244, 500)","(2875.4389762984283, 487)"
173,"(2867.3025570347368, 500)","(2877.961033570214, 487)"
174,"(2870.054276306115, 500)","(2880.4559070866653, 487)"
175,"(2872.774543309901, 500)","(2884.44655367546, 485)"
176,"(2875.463895635159, 500)","(2886.849714884397, 485)"
177,"(2878.1228612637005, 500)","(2889.2262718483094, 485)"
178,"(2880.7519514956557, 500)","(2891.575086585183, 485)"
179,"(2883.3516665403217, 500)","(2895.258083325321, 483)"
180,"(2885.9224961817085, 500)","(2897.513883910484, 483)"
