,optimal,"""optimal"""
449,"(2259.4065907329955, 1)","(2259.4065907329955, 1)"
450,"(2249.6026691643697, 1)","(2249.6026691643697, 1)"
451,"(2239.6026691643715, 1)","(2239.6026691643715, 1)"
452,"(2229.3985875317208, 1)","(2229.3985875317208, 1)"
453,"(2218.981920865056, 1)","(2218.981920865056, 1)"
454,"(2208.343622992718, 1)","(2208.343622992718, 1)"
455,"(2197.4740577753287, 1)","(2197.4740577753287, 1)"
456,"(2186.3629466642196, 1)","(2186.3629466642196, 1)"
457,"(2174.9993103005854, 1)","(2174.9993103005854, 1)"
458,"(2163.371403323844, 1)","(2163.371403323844, 1)"
459,"(2151.466641419084, 1)","(2151.466641419084, 1)"
460,"(2139.271519467867, 1)","(2139.271519467867, 1)"
461,"(2126.7715194678694, 1)","(2126.7715194678694, 1)"
462,"(2113.951006647359, 1)","(2113.951006647359, 1)"
463,"(2100.793111910519, 1)","(2100.793111910519, 1)"
464,"(2087.279598397008, 1)","(2087.279598397008, 1)"
465,"(2073.3907095081217, 1)","(2073.3907095081217, 1)"
466,"(2059.1049952224103, 1)","(2059.1049952224103, 1)"
467,"(2044.399112869472, 1)","(2044.399112869472, 1)"
468,"(2029.2475977179595, 1)","(2029.2475977179595, 1)"
469,"(2013.6225977179627, 1)","(2013.6225977179627, 1)"
470,"(1997.4935654599012, 1)","(1997.4935654599012, 1)"
471,"(1980.826898793238, 1)","(1980.826898793238, 1)"
472,"(1963.5855194828966, 1)","(1963.5855194828966, 1)"
473,"(1945.7283766257574, 1)","(1945.7283766257574, 1)"
474,"(1927.2098581072426, 1)","(1927.2098581072426, 1)"
475,"(1907.979088876477, 1)","(1907.979088876477, 1)"
476,"(1887.9790888764808, 1)","(1887.9790888764808, 1)"
477,"(1867.1457555431516, 1)","(1867.1457555431516, 1)"
478,"(1845.4066251083734, 1)","(1845.4066251083734, 1)"
479,"(1822.6793523811052, 1)","(1822.6793523811052, 1)"
480,"(1798.869828571586, 1)","(1798.869828571586, 1)"
481,"(1773.8698285715907, 1)","(1773.8698285715907, 1)"
482,"(1747.5540390979113, 1)","(1747.5540390979113, 1)"
483,"(1719.776261320139, 1)","(1719.776261320139, 1)"
484,"(1690.3644966142624, 1)","(1690.3644966142624, 1)"
485,"(1659.1144966142685, 1)","(1659.1144966142685, 1)"
486,"(1625.7811632809419, 1)","(1625.7811632809419, 1)"
487,"(1590.0668775666632, 1)","(1590.0668775666632, 1)"
488,"(1551.6053391051323, 1)","(1551.6053391051323, 1)"
489,"(1509.9386724384735, 1)","(1509.9386724384735, 1)"
490,"(1464.4841269839371, 1)","(1464.4841269839371, 1)"
491,"(1414.484126983947, 1)","(1414.484126983947, 1)"
492,"(1358.9285714284024, 1)","(1358.9285714284024, 1)"
493,"(1296.428571428415, 1)","(1296.428571428415, 1)"
494,"(1224.9999999998577, 1)","(1224.9999999998577, 1)"
495,"(1141.6666666665406, 1)","(1141.6666666665406, 1)"
496,"(1041.6666666665603, 1)","(1041.6666666665603, 1)"
497,"(916.6666666665848, 1)","(916.6666666665848, 1)"
498,"(749.9999999999509, 1)","(749.9999999999509, 1)"
499,"(500, 1)","(500, 1)"
500,"(0, 0)","(0, 0)"
