,dynamic-(1+1){>0}-p-opt,E[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift]
Expected Time General,All,20.64211558495581,All,20.752982123597523
10,0,0.0,0,0.0
9,0.01,10.467008176866184,0.01,10.467008163606495
8,0.01,15.619522933168163,0.01,15.61952291991552
7,0.01,19.01904580385091,0.01,19.01904579059833
6,0.01,21.542564720320087,0.01,21.54256470706751
5,0.49733607918929146,22.37498980423804,0.4952065742203206,22.3750329436006
4,0.7357955949576992,22.00201007910876,1,22.54256470706751
3,1,20.01904580385091,1,20.01904579059833
2,1,16.619522933168163,1,16.619522919915518
1,1,11.467008176866184,1,11.467008163606495
