,dynamic-(1+1){>0}-p-opt,E[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift]
Expected Time General,All,14.773445192240475,All,14.833657362496222
8,0,0.0,0,0.0
7,0.015625,8.458837322485852,0.015625,8.458835839855919
6,0.015625,12.585254030569995,0.015625,12.585252549565396
5,0.015625,15.291669008606243,0.015625,15.291667527618472
4,0.4903654109603116,16.465746405908476,0.4825532258865919,16.466200078462958
3,0.7703778990161176,16.016975597255804,1,16.291667527618472
2,1,13.585254030569995,1,13.585252549565396
1,1,9.458837322485852,1,9.458835839855919
