,dynamic-(1+1){>0}-p-opt,E[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift]
Expected Time General,All,2.831574417279601,All,2.8982558139534906
3,0,0.0,0,0.0
2,0.1111111111111111,3.3906250000000027,0.1111111111111111,3.3643410852713203
1,0.7157510379348346,4.160240112745599,1,4.36434108527132
