,dynamic-(1+1){>0}-p-opt,E[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift]
Expected Time General,All,4.850797742320473,All,4.856563071811899
4,0,0.0,0,0.0
3,0.0625,4.418074074074074,0.0625,4.413170551239363
2,0.24771354036695814,6.378028547422499,0.0625,6.399940789845919
1,1,5.418074074074074,1,5.413170551239363
