,dynamic-(1+1){>0}-p-opt,E[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift]
Expected Time General,All,6.9911335630436096,All,7.1529726386754415
5,0,0.0,0,0.0
4,0.04,5.434392481674386,0.04,5.4336036404822865
3,0.04,7.978739088870535,0.04,7.97795440163957
2,0.6705050882109042,8.458495831194645,1,8.97795440163957
1,1,6.434392481674386,1,6.4336036404822865
