,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.30529985436595,All
59,0,0,0,1,1,1,0,1,1,18.393774648764698,5
58,0,0,0,1,1,1,0,1,0,18.387002599393874,5
57,0,0,0,1,1,1,0,0,1,18.387002599393874,5
56,0,0,0,1,1,1,0,0,0,17.500000000000014,9
55,0,0,0,1,1,0,1,1,1,18.392415225872977,5
54,0,0,0,1,1,0,1,1,0,18.3869542499022,5
53,0,0,0,1,1,0,1,0,1,18.3869542499022,5
52,0,0,0,1,1,0,1,0,0,17.500000000000014,9
51,0,0,0,1,1,0,0,1,1,18.386971883939044,5
50,0,0,0,1,1,0,0,1,0,17.500000000000014,9
49,0,0,0,1,1,0,0,0,1,17.500000000000014,9
48,0,0,0,1,1,0,0,0,0,14.50000000000001,9
47,0,0,0,1,0,1,1,1,1,18.358377324972015,5
46,0,0,0,1,0,1,1,1,0,18.354007905257415,4
45,0,0,0,1,0,1,1,0,1,18.354007905257415,4
44,0,0,0,1,0,1,1,0,0,17.500000000000014,9
43,0,0,0,1,0,1,0,1,1,18.353667498821377,4
42,0,0,0,1,0,1,0,1,0,17.500000000000014,9
41,0,0,0,1,0,1,0,0,1,17.500000000000014,9
40,0,0,0,1,0,1,0,0,0,14.50000000000001,9
39,0,0,0,1,0,0,1,1,1,18.31977900453334,4
38,0,0,0,1,0,0,1,1,0,17.500000000000014,9
37,0,0,0,1,0,0,1,0,1,17.500000000000014,9
36,0,0,0,1,0,0,1,0,0,14.50000000000001,9
35,0,0,0,1,0,0,0,1,1,17.500000000000014,9
34,0,0,0,1,0,0,0,1,0,14.50000000000001,9
33,0,0,0,1,0,0,0,0,1,14.50000000000001,9
32,0,0,0,1,0,0,0,0,0,10.000000000000007,9
31,0,0,0,0,1,1,1,1,1,18.22783696069393,5
30,0,0,0,0,1,1,1,1,0,18.250258084483345,4
29,0,0,0,0,1,1,1,0,1,18.250258084483345,4
28,0,0,0,0,1,1,1,0,0,17.500000000000014,9
27,0,0,0,0,1,1,0,1,1,18.249646919734595,4
26,0,0,0,0,1,1,0,1,0,17.500000000000014,9
25,0,0,0,0,1,1,0,0,1,17.500000000000014,9
24,0,0,0,0,1,1,0,0,0,14.50000000000001,9
23,0,0,0,0,1,0,1,1,1,18.2179178916673,4
22,0,0,0,0,1,0,1,1,0,17.500000000000014,9
21,0,0,0,0,1,0,1,0,1,17.500000000000014,9
20,0,0,0,0,1,0,1,0,0,14.50000000000001,9
19,0,0,0,0,1,0,0,1,1,17.500000000000014,9
18,0,0,0,0,1,0,0,1,0,14.50000000000001,9
17,0,0,0,0,1,0,0,0,1,14.50000000000001,9
16,0,0,0,0,1,0,0,0,0,10.000000000000007,9
15,0,0,0,0,0,1,1,1,1,18.12694738136111,4
14,0,0,0,0,0,1,1,1,0,17.500000000000014,9
13,0,0,0,0,0,1,1,0,1,17.500000000000014,9
12,0,0,0,0,0,1,1,0,0,14.50000000000001,9
11,0,0,0,0,0,1,0,1,1,17.500000000000014,9
10,0,0,0,0,0,1,0,1,0,14.50000000000001,9
9,0,0,0,0,0,1,0,0,1,14.50000000000001,9
8,0,0,0,0,0,1,0,0,0,10.000000000000007,9
7,0,0,0,0,0,0,1,1,1,17.500000000000014,9
6,0,0,0,0,0,0,1,1,0,14.50000000000001,9
5,0,0,0,0,0,0,1,0,1,14.50000000000001,9
4,0,0,0,0,0,0,1,0,0,10.000000000000007,9
3,0,0,0,0,0,0,0,1,1,14.50000000000001,9
2,0,0,0,0,0,0,0,1,0,10.000000000000007,9
1,0,0,0,0,0,0,0,0,1,10.000000000000007,9
0,0,0,0,0,0,0,0,0,0,1.0,9
