,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.344862524561574,All
596,1,0,0,1,0,1,0,1,0,0,22.3895060978319,6
595,1,0,0,1,0,1,0,0,1,1,22.369302439277398,3
594,1,0,0,1,0,1,0,0,1,0,22.38981624434834,6
593,1,0,0,1,0,1,0,0,0,1,22.38981624434834,6
592,1,0,0,1,0,1,0,0,0,0,21.333333333333343,7
591,1,0,0,1,0,0,1,1,1,1,20.83333333333333,1
590,1,0,0,1,0,0,1,1,1,0,22.343733829757785,3
589,1,0,0,1,0,0,1,1,0,1,22.343733829757785,3
588,1,0,0,1,0,0,1,1,0,0,22.392606309495687,6
587,1,0,0,1,0,0,1,0,1,1,22.344500615890368,3
586,1,0,0,1,0,0,1,0,1,0,22.392916178096524,6
585,1,0,0,1,0,0,1,0,0,1,22.392916178096524,6
584,1,0,0,1,0,0,1,0,0,0,21.333333333333343,7
583,1,0,0,1,0,0,0,1,1,1,22.3453029018043,3
582,1,0,0,1,0,0,0,1,1,0,22.39447784432776,6
581,1,0,0,1,0,0,0,1,0,1,22.39447784432776,6
580,1,0,0,1,0,0,0,1,0,0,21.333333333333343,7
579,1,0,0,1,0,0,0,0,1,1,22.394787583896356,6
578,1,0,0,1,0,0,0,0,1,0,21.333333333333343,7
577,1,0,0,1,0,0,0,0,0,1,21.333333333333343,7
576,1,0,0,1,0,0,0,0,0,0,18.33333333333334,8
575,1,0,0,0,1,1,1,1,1,1,18.333333333333332,1
574,1,0,0,0,1,1,1,1,1,0,20.83333333333333,1
573,1,0,0,0,1,1,1,1,0,1,20.83333333333333,1
572,1,0,0,0,1,1,1,1,0,0,22.346671854574325,3
571,1,0,0,0,1,1,1,0,1,1,20.83333333333333,1
570,1,0,0,0,1,1,1,0,1,0,22.323420264373567,3
569,1,0,0,0,1,1,1,0,0,1,22.323420264373567,3
568,1,0,0,0,1,1,1,0,0,0,22.369872077465182,6
567,1,0,0,0,1,1,0,1,1,1,20.83333333333333,1
566,1,0,0,0,1,1,0,1,1,0,22.300933206889933,3
565,1,0,0,0,1,1,0,1,0,1,22.300933206889933,3
564,1,0,0,0,1,1,0,1,0,0,22.371033558382685,6
563,1,0,0,0,1,1,0,0,1,1,22.301993138009607,3
562,1,0,0,0,1,1,0,0,1,0,22.371316449500267,6
561,1,0,0,0,1,1,0,0,0,1,22.371316449500267,6
560,1,0,0,0,1,1,0,0,0,0,21.319444444444454,7
559,1,0,0,0,1,0,1,1,1,1,20.83333333333333,1
558,1,0,0,0,1,0,1,1,1,0,22.27952732185184,3
557,1,0,0,0,1,0,1,1,0,1,22.27952732185184,3
556,1,0,0,0,1,0,1,1,0,0,22.373481488571148,6
555,1,0,0,0,1,0,1,0,1,1,22.280882111530005,3
554,1,0,0,0,1,0,1,0,1,0,22.37376411516666,6
553,1,0,0,0,1,0,1,0,0,1,22.37376411516666,6
552,1,0,0,0,1,0,1,0,0,0,21.319444444444454,7
551,1,0,0,0,1,0,0,1,1,1,22.28309645963937,3
550,1,0,0,0,1,0,0,1,1,0,22.375380049785946,6
549,1,0,0,0,1,0,0,1,0,1,22.375380049785946,6
548,1,0,0,0,1,0,0,1,0,0,21.319444444444454,7
547,1,0,0,0,1,0,0,0,1,1,22.37566255356763,6
546,1,0,0,0,1,0,0,0,1,0,21.319444444444454,7
545,1,0,0,0,1,0,0,0,0,1,21.319444444444454,7
544,1,0,0,0,1,0,0,0,0,0,18.33333333333334,8
543,1,0,0,0,0,1,1,1,1,1,20.83333333333333,1
542,1,0,0,0,0,1,1,1,1,0,22.257750142926174,3
541,1,0,0,0,0,1,1,1,0,1,22.257750142926174,3
540,1,0,0,0,0,1,1,1,0,0,22.37983231509161,6
539,1,0,0,0,0,1,1,0,1,1,22.259414604755662,3
538,1,0,0,0,0,1,1,0,1,0,22.380107635780703,6
537,1,0,0,0,0,1,1,0,0,1,22.380107635780703,6
536,1,0,0,0,0,1,1,0,0,0,21.31944444444445,7
535,1,0,0,0,0,1,0,1,1,1,22.26235807873932,3
534,1,0,0,0,0,1,0,1,1,0,22.38175826434647,6
533,1,0,0,0,0,1,0,1,0,1,22.38175826434647,6
532,1,0,0,0,0,1,0,1,0,0,21.31944444444445,7
531,1,0,0,0,0,1,0,0,1,1,22.38203346222175,6
530,1,0,0,0,0,1,0,0,1,0,21.31944444444445,7
529,1,0,0,0,0,1,0,0,0,1,21.31944444444445,7
528,1,0,0,0,0,1,0,0,0,0,18.33333333333334,8
527,1,0,0,0,0,0,1,1,1,1,22.26609676671333,3
526,1,0,0,0,0,0,1,1,1,0,22.385392814761857,6
525,1,0,0,0,0,0,1,1,0,1,22.385392814761857,6
524,1,0,0,0,0,0,1,1,0,0,21.31944444444445,7
523,1,0,0,0,0,0,1,0,1,1,22.38566774811506,6
522,1,0,0,0,0,0,1,0,1,0,21.31944444444445,7
521,1,0,0,0,0,0,1,0,0,1,21.31944444444445,7
520,1,0,0,0,0,0,1,0,0,0,18.33333333333334,8
519,1,0,0,0,0,0,0,1,1,1,22.387772830382602,6
518,1,0,0,0,0,0,0,1,1,0,21.31944444444445,7
517,1,0,0,0,0,0,0,1,0,1,21.31944444444445,7
516,1,0,0,0,0,0,0,1,0,0,18.33333333333334,8
515,1,0,0,0,0,0,0,0,1,1,21.31944444444445,7
514,1,0,0,0,0,0,0,0,1,0,18.33333333333334,8
513,1,0,0,0,0,0,0,0,0,1,18.33333333333334,8
512,1,0,0,0,0,0,0,0,0,0,10.0,9
511,0,1,1,1,1,1,1,1,1,1,10.0,1
510,0,1,1,1,1,1,1,1,1,0,15.0,1
509,0,1,1,1,1,1,1,1,0,1,15.0,1
508,0,1,1,1,1,1,1,1,0,0,18.333333333333332,1
507,0,1,1,1,1,1,1,0,1,1,15.0,1
506,0,1,1,1,1,1,1,0,1,0,18.333333333333332,1
505,0,1,1,1,1,1,1,0,0,1,18.333333333333332,1
504,0,1,1,1,1,1,1,0,0,0,20.83333333333333,1
503,0,1,1,1,1,1,0,1,1,1,15.0,1
502,0,1,1,1,1,1,0,1,1,0,18.333333333333332,1
501,0,1,1,1,1,1,0,1,0,1,18.333333333333332,1
500,0,1,1,1,1,1,0,1,0,0,20.83333333333333,1
499,0,1,1,1,1,1,0,0,1,1,18.333333333333332,1
498,0,1,1,1,1,1,0,0,1,0,20.83333333333333,1
497,0,1,1,1,1,1,0,0,0,1,20.83333333333333,1
496,0,1,1,1,1,1,0,0,0,0,22.07882231750476,7
495,0,1,1,1,1,0,1,1,1,1,15.0,1
494,0,1,1,1,1,0,1,1,1,0,18.333333333333332,1
493,0,1,1,1,1,0,1,1,0,1,18.333333333333332,1
492,0,1,1,1,1,0,1,1,0,0,20.83333333333333,1
491,0,1,1,1,1,0,1,0,1,1,18.333333333333332,1
490,0,1,1,1,1,0,1,0,1,0,20.83333333333333,1
489,0,1,1,1,1,0,1,0,0,1,20.83333333333333,1
488,0,1,1,1,1,0,1,0,0,0,22.079659033022622,7
487,0,1,1,1,1,0,0,1,1,1,18.333333333333332,1
486,0,1,1,1,1,0,0,1,1,0,20.83333333333333,1
485,0,1,1,1,1,0,0,1,0,1,20.83333333333333,1
484,0,1,1,1,1,0,0,1,0,0,22.079898853316756,7
483,0,1,1,1,1,0,0,0,1,1,20.83333333333333,1
482,0,1,1,1,1,0,0,0,1,0,22.079875912684276,7
481,0,1,1,1,1,0,0,0,0,1,22.079875912684276,7
480,0,1,1,1,1,0,0,0,0,0,21.541569179229306,8
479,0,1,1,1,0,1,1,1,1,1,15.0,1
478,0,1,1,1,0,1,1,1,1,0,18.333333333333332,1
477,0,1,1,1,0,1,1,1,0,1,18.333333333333332,1
476,0,1,1,1,0,1,1,1,0,0,20.83333333333333,1
475,0,1,1,1,0,1,1,0,1,1,18.333333333333332,1
474,0,1,1,1,0,1,1,0,1,0,20.83333333333333,1
473,0,1,1,1,0,1,1,0,0,1,20.83333333333333,1
472,0,1,1,1,0,1,1,0,0,0,22.08493704272494,7
471,0,1,1,1,0,1,0,1,1,1,18.333333333333332,1
470,0,1,1,1,0,1,0,1,1,0,20.83333333333333,1
469,0,1,1,1,0,1,0,1,0,1,20.83333333333333,1
468,0,1,1,1,0,1,0,1,0,0,22.085248379506652,7
467,0,1,1,1,0,1,0,0,1,1,20.83333333333333,1
466,0,1,1,1,0,1,0,0,1,0,22.08522520861065,7
465,0,1,1,1,0,1,0,0,0,1,22.08522520861065,7
464,0,1,1,1,0,1,0,0,0,0,21.54050903463143,8
463,0,1,1,1,0,0,1,1,1,1,18.333333333333332,1
462,0,1,1,1,0,0,1,1,1,0,20.83333333333333,1
461,0,1,1,1,0,0,1,1,0,1,20.83333333333333,1
460,0,1,1,1,0,0,1,1,0,0,22.087273739206086,7
459,0,1,1,1,0,0,1,0,1,1,20.83333333333333,1
458,0,1,1,1,0,0,1,0,1,0,22.087250319533368,7
457,0,1,1,1,0,0,1,0,0,1,22.087250319533368,7
456,0,1,1,1,0,0,1,0,0,0,21.54000218329128,8
455,0,1,1,1,0,0,0,1,1,1,20.83333333333333,1
454,0,1,1,1,0,0,0,1,1,0,22.087989059201284,7
453,0,1,1,1,0,0,0,1,0,1,22.087989059201284,7
452,0,1,1,1,0,0,0,1,0,0,21.539729969692523,8
451,0,1,1,1,0,0,0,0,1,1,22.087965524025094,7
450,0,1,1,1,0,0,0,0,1,0,21.53968348431996,8
449,0,1,1,1,0,0,0,0,0,1,21.53968348431996,8
448,0,1,1,1,0,0,0,0,0,0,19.333333333333332,10
447,0,1,1,0,1,1,1,1,1,1,15.0,1
446,0,1,1,0,1,1,1,1,1,0,18.333333333333332,1
445,0,1,1,0,1,1,1,1,0,1,18.333333333333332,1
444,0,1,1,0,1,1,1,1,0,0,20.83333333333333,1
443,0,1,1,0,1,1,1,0,1,1,18.333333333333332,1
442,0,1,1,0,1,1,1,0,1,0,20.83333333333333,1
441,0,1,1,0,1,1,1,0,0,1,20.83333333333333,1
440,0,1,1,0,1,1,1,0,0,0,22.071784559623545,5
439,0,1,1,0,1,1,0,1,1,1,18.333333333333332,1
438,0,1,1,0,1,1,0,1,1,0,20.83333333333333,1
437,0,1,1,0,1,1,0,1,0,1,20.83333333333333,1
436,0,1,1,0,1,1,0,1,0,0,22.07242152693219,5
435,0,1,1,0,1,1,0,0,1,1,20.83333333333333,1
434,0,1,1,0,1,1,0,0,1,0,22.07261369260511,5
433,0,1,1,0,1,1,0,0,0,1,22.07261369260511,5
432,0,1,1,0,1,1,0,0,0,0,21.543696522581335,8
431,0,1,1,0,1,0,1,1,1,1,18.333333333333332,1
430,0,1,1,0,1,0,1,1,1,0,20.83333333333333,1
429,0,1,1,0,1,0,1,1,0,1,20.83333333333333,1
428,0,1,1,0,1,0,1,1,0,0,22.064291967538114,5
427,0,1,1,0,1,0,1,0,1,1,20.83333333333333,1
426,0,1,1,0,1,0,1,0,1,0,22.064483085153054,5
425,0,1,1,0,1,0,1,0,0,1,22.064483085153054,5
424,0,1,1,0,1,0,1,0,0,0,21.54313531519566,8
423,0,1,1,0,1,0,0,1,1,1,20.83333333333333,1
422,0,1,1,0,1,0,0,1,1,0,22.064591190888052,5
421,0,1,1,0,1,0,0,1,0,1,22.064591190888052,5
420,0,1,1,0,1,0,0,1,0,0,21.542868263137965,8
419,0,1,1,0,1,0,0,0,1,1,22.064782450212924,5
418,0,1,1,0,1,0,0,0,1,0,21.54281950739898,8
417,0,1,1,0,1,0,0,0,0,1,21.54281950739898,8
416,0,1,1,0,1,0,0,0,0,0,19.333333333333332,10
415,0,1,1,0,0,1,1,1,1,1,18.333333333333332,1
414,0,1,1,0,0,1,1,1,1,0,20.83333333333333,1
413,0,1,1,0,0,1,1,1,0,1,20.83333333333333,1
412,0,1,1,0,0,1,1,1,0,0,22.0386451005582,5
411,0,1,1,0,0,1,1,0,1,1,20.83333333333333,1
410,0,1,1,0,0,1,1,0,1,0,22.038831936844936,5
409,0,1,1,0,0,1,1,0,0,1,22.038831936844936,5
408,0,1,1,0,0,1,1,0,0,0,21.54385069421162,8
407,0,1,1,0,0,1,0,1,1,1,20.83333333333333,1
406,0,1,1,0,0,1,0,1,1,0,22.038855811788135,5
405,0,1,1,0,0,1,0,1,0,1,22.038855811788135,5
404,0,1,1,0,0,1,0,1,0,0,21.54358737228718,8
403,0,1,1,0,0,1,0,0,1,1,22.039042785902346,5
402,0,1,1,0,0,1,0,0,1,0,21.54353808291797,8
401,0,1,1,0,0,1,0,0,0,1,21.54353808291797,8
400,0,1,1,0,0,1,0,0,0,0,19.333333333333332,10
399,0,1,1,0,0,0,1,1,1,1,20.83333333333333,1
398,0,1,1,0,0,0,1,1,1,0,22.034661981775496,5
397,0,1,1,0,0,0,1,1,0,1,22.034661981775496,5
396,0,1,1,0,0,0,1,1,0,0,21.543128247330078,8
395,0,1,1,0,0,0,1,0,1,1,22.034848314098507,5
394,0,1,1,0,0,0,1,0,1,0,21.543078935545317,8
393,0,1,1,0,0,0,1,0,0,1,21.543078935545317,8
392,0,1,1,0,0,0,1,0,0,0,19.333333333333332,10
391,0,1,1,0,0,0,0,1,1,1,22.034367277958935,5
390,0,1,1,0,0,0,0,1,1,0,21.542854123938085,8
389,0,1,1,0,0,0,0,1,0,1,21.542854123938085,8
388,0,1,1,0,0,0,0,1,0,0,19.333333333333332,10
387,0,1,1,0,0,0,0,0,1,1,21.542804801746104,8
386,0,1,1,0,0,0,0,0,1,0,19.333333333333332,10
385,0,1,1,0,0,0,0,0,0,1,19.333333333333332,10
384,0,1,1,0,0,0,0,0,0,0,16.0,10
383,0,1,0,1,1,1,1,1,1,1,15.0,1
382,0,1,0,1,1,1,1,1,1,0,18.333333333333332,1
381,0,1,0,1,1,1,1,1,0,1,18.333333333333332,1
380,0,1,0,1,1,1,1,1,0,0,20.83333333333333,1
379,0,1,0,1,1,1,1,0,1,1,18.333333333333332,1
378,0,1,0,1,1,1,1,0,1,0,20.83333333333333,1
377,0,1,0,1,1,1,1,0,0,1,20.83333333333333,1
376,0,1,0,1,1,1,1,0,0,0,21.877453559376995,5
375,0,1,0,1,1,1,0,1,1,1,18.333333333333332,1
374,0,1,0,1,1,1,0,1,1,0,20.83333333333333,1
373,0,1,0,1,1,1,0,1,0,1,20.83333333333333,1
372,0,1,0,1,1,1,0,1,0,0,21.87801106800896,5
371,0,1,0,1,1,1,0,0,1,1,20.83333333333333,1
370,0,1,0,1,1,1,0,0,1,0,21.8778557057012,5
369,0,1,0,1,1,1,0,0,0,1,21.8778557057012,5
368,0,1,0,1,1,1,0,0,0,0,21.57029708802173,8
367,0,1,0,1,1,0,1,1,1,1,18.333333333333332,1
366,0,1,0,1,1,0,1,1,1,0,20.83333333333333,1
365,0,1,0,1,1,0,1,1,0,1,20.83333333333333,1
364,0,1,0,1,1,0,1,1,0,0,21.872565283039663,5
363,0,1,0,1,1,0,1,0,1,1,20.83333333333333,1
362,0,1,0,1,1,0,1,0,1,0,21.872411146449167,5
361,0,1,0,1,1,0,1,0,0,1,21.872411146449167,5
360,0,1,0,1,1,0,1,0,0,0,21.569626989979152,8
359,0,1,0,1,1,0,0,1,1,1,20.83333333333333,1
358,0,1,0,1,1,0,0,1,1,0,21.872507034280797,5
357,0,1,0,1,1,0,0,1,0,1,21.872507034280797,5
356,0,1,0,1,1,0,0,1,0,0,21.569334059415304,8
355,0,1,0,1,1,0,0,0,1,1,21.87235302151096,5
354,0,1,0,1,1,0,0,0,1,0,21.569313831107777,8
353,0,1,0,1,1,0,0,0,0,1,21.569313831107777,8
352,0,1,0,1,1,0,0,0,0,0,19.333333333333332,10
351,0,1,0,1,0,1,1,1,1,1,18.333333333333332,1
350,0,1,0,1,0,1,1,1,1,0,20.83333333333333,1
349,0,1,0,1,0,1,1,1,0,1,20.83333333333333,1
348,0,1,0,1,0,1,1,1,0,0,21.856085249884757,5
347,0,1,0,1,0,1,1,0,1,1,20.83333333333333,1
346,0,1,0,1,0,1,1,0,1,0,21.855935579527657,5
345,0,1,0,1,0,1,1,0,0,1,21.855935579527657,5
344,0,1,0,1,0,1,1,0,0,0,21.57093885187152,8
343,0,1,0,1,0,1,0,1,1,1,20.83333333333333,1
342,0,1,0,1,0,1,0,1,1,0,21.855957953727753,5
341,0,1,0,1,0,1,0,1,0,1,21.855957953727753,5
340,0,1,0,1,0,1,0,1,0,0,21.570649795157287,8
339,0,1,0,1,0,1,0,0,1,1,21.85580840420769,5
338,0,1,0,1,0,1,0,0,1,0,21.57062916396639,8
337,0,1,0,1,0,1,0,0,0,1,21.57062916396639,8
336,0,1,0,1,0,1,0,0,0,0,19.333333333333332,10
335,0,1,0,1,0,0,1,1,1,1,20.83333333333333,1
334,0,1,0,1,0,0,1,1,1,0,21.853993671866423,5
333,0,1,0,1,0,0,1,1,0,1,21.853993671866423,5
332,0,1,0,1,0,0,1,1,0,0,21.57008617915015,8
331,0,1,0,1,0,0,1,0,1,1,21.853845400098436,5
330,0,1,0,1,0,0,1,0,1,0,21.570065524506447,8
329,0,1,0,1,0,0,1,0,0,1,21.570065524506447,8
328,0,1,0,1,0,0,1,0,0,0,19.333333333333332,10
327,0,1,0,1,0,0,0,1,1,1,21.853424909756573,5
326,0,1,0,1,0,0,0,1,1,0,21.56981676013472,8
325,0,1,0,1,0,0,0,1,0,1,21.56981676013472,8
324,0,1,0,1,0,0,0,1,0,0,19.333333333333332,10
323,0,1,0,1,0,0,0,0,1,1,21.569796094602218,8
322,0,1,0,1,0,0,0,0,1,0,19.333333333333332,10
321,0,1,0,1,0,0,0,0,0,1,19.333333333333332,10
320,0,1,0,1,0,0,0,0,0,0,16.0,10
319,0,1,0,0,1,1,1,1,1,1,18.333333333333332,1
318,0,1,0,0,1,1,1,1,1,0,20.83333333333333,1
317,0,1,0,0,1,1,1,1,0,1,20.83333333333333,1
316,0,1,0,0,1,1,1,1,0,0,21.792615285894552,5
315,0,1,0,0,1,1,1,0,1,1,20.83333333333333,1
314,0,1,0,0,1,1,1,0,1,0,21.7924757807488,5
313,0,1,0,0,1,1,1,0,0,1,21.7924757807488,5
312,0,1,0,0,1,1,1,0,0,0,21.592474770807954,8
311,0,1,0,0,1,1,0,1,1,1,20.83333333333333,1
310,0,1,0,0,1,1,0,1,1,0,21.792329712321116,5
309,0,1,0,0,1,1,0,1,0,1,21.792329712321116,5
308,0,1,0,0,1,1,0,1,0,0,21.59219247529751,8
307,0,1,0,0,1,1,0,0,1,1,21.7921903211644,5
306,0,1,0,0,1,1,0,0,1,0,21.5921703873993,8
305,0,1,0,0,1,1,0,0,0,1,21.5921703873993,8
304,0,1,0,0,1,1,0,0,0,0,19.333333333333332,10
303,0,1,0,0,1,0,1,1,1,1,20.83333333333333,1
302,0,1,0,0,1,0,1,1,1,0,21.79132502362222,5
301,0,1,0,0,1,0,1,1,0,1,21.79132502362222,5
300,0,1,0,0,1,0,1,1,0,0,21.591571346366088,8
299,0,1,0,0,1,0,1,0,1,1,21.79118678890431,5
298,0,1,0,0,1,0,1,0,1,0,21.591549234653087,8
297,0,1,0,0,1,0,1,0,0,1,21.591549234653087,8
296,0,1,0,0,1,0,1,0,0,0,19.333333333333332,10
295,0,1,0,0,1,0,0,1,1,1,21.790623724709235,5
294,0,1,0,0,1,0,0,1,1,0,21.591307853385526,8
293,0,1,0,0,1,0,0,1,0,1,21.591307853385526,8
292,0,1,0,0,1,0,0,1,0,0,19.333333333333332,10
291,0,1,0,0,1,0,0,0,1,1,21.59128573061566,8
290,0,1,0,0,1,0,0,0,1,0,19.333333333333332,10
289,0,1,0,0,1,0,0,0,0,1,19.333333333333332,10
288,0,1,0,0,1,0,0,0,0,0,16.0,10
287,0,1,0,0,0,1,1,1,1,1,20.83333333333333,1
286,0,1,0,0,0,1,1,1,1,0,21.7560512397266,5
285,0,1,0,0,0,1,1,1,0,1,21.7560512397266,5
284,0,1,0,0,0,1,1,1,0,0,21.597040808524156,8
283,0,1,0,0,0,1,1,0,1,1,21.755916931640122,5
282,0,1,0,0,0,1,1,0,1,0,21.597018367090786,8
281,0,1,0,0,0,1,1,0,0,1,21.597018367090786,8
280,0,1,0,0,0,1,1,0,0,0,19.333333333333332,10
279,0,1,0,0,0,1,0,1,1,1,21.755302515171113,5
278,0,1,0,0,0,1,0,1,1,0,21.596781675968998,8
277,0,1,0,0,0,1,0,1,0,1,21.596781675968998,8
276,0,1,0,0,0,1,0,1,0,0,19.333333333333332,10
275,0,1,0,0,0,1,0,0,1,1,21.59675922347876,8
274,0,1,0,0,0,1,0,0,1,0,19.333333333333332,10
273,0,1,0,0,0,1,0,0,0,1,19.333333333333332,10
272,0,1,0,0,0,1,0,0,0,0,16.0,10
271,0,1,0,0,0,0,1,1,1,1,21.722682643621084,5
270,0,1,0,0,0,0,1,1,1,0,21.596270094803668,8
269,0,1,0,0,0,0,1,1,0,1,21.596270094803668,8
268,0,1,0,0,0,0,1,1,0,0,19.333333333333332,10
267,0,1,0,0,0,0,1,0,1,1,21.596247618498637,8
266,0,1,0,0,0,0,1,0,1,0,19.333333333333332,10
265,0,1,0,0,0,0,1,0,0,1,19.333333333333332,10
264,0,1,0,0,0,0,1,0,0,0,16.0,10
263,0,1,0,0,0,0,0,1,1,1,21.596051841619733,8
262,0,1,0,0,0,0,0,1,1,0,19.333333333333332,10
261,0,1,0,0,0,0,0,1,0,1,19.333333333333332,10
260,0,1,0,0,0,0,0,1,0,0,16.0,10
259,0,1,0,0,0,0,0,0,1,1,19.333333333333332,10
258,0,1,0,0,0,0,0,0,1,0,16.0,10
257,0,1,0,0,0,0,0,0,0,1,16.0,10
256,0,1,0,0,0,0,0,0,0,0,11.0,10
255,0,0,1,1,1,1,1,1,1,1,15.0,1
254,0,0,1,1,1,1,1,1,1,0,18.333333333333332,1
253,0,0,1,1,1,1,1,1,0,1,18.333333333333332,1
252,0,0,1,1,1,1,1,1,0,0,20.83333333333333,1
251,0,0,1,1,1,1,1,0,1,1,18.333333333333332,1
250,0,0,1,1,1,1,1,0,1,0,20.83333333333333,1
249,0,0,1,1,1,1,1,0,0,1,20.83333333333333,1
248,0,0,1,1,1,1,1,0,0,0,21.59925179858823,5
247,0,0,1,1,1,1,0,1,1,1,18.333333333333332,1
246,0,0,1,1,1,1,0,1,1,0,20.83333333333333,1
245,0,0,1,1,1,1,0,1,0,1,20.83333333333333,1
244,0,0,1,1,1,1,0,1,0,0,21.598344221888105,5
243,0,0,1,1,1,1,0,0,1,1,20.83333333333333,1
242,0,0,1,1,1,1,0,0,1,0,21.598226387141178,5
241,0,0,1,1,1,1,0,0,0,1,21.598226387141178,5
240,0,0,1,1,1,1,0,0,0,0,21.493961312454605,6
239,0,0,1,1,1,0,1,1,1,1,18.333333333333332,1
238,0,0,1,1,1,0,1,1,1,0,20.83333333333333,1
237,0,0,1,1,1,0,1,1,0,1,20.83333333333333,1
236,0,0,1,1,1,0,1,1,0,0,21.592854605377823,5
235,0,0,1,1,1,0,1,0,1,1,20.83333333333333,1
234,0,0,1,1,1,0,1,0,1,0,21.592737268647973,5
233,0,0,1,1,1,0,1,0,0,1,21.592737268647973,5
232,0,0,1,1,1,0,1,0,0,0,21.494994854657694,6
231,0,0,1,1,1,0,0,1,1,1,20.83333333333333,1
230,0,0,1,1,1,0,0,1,1,0,21.592006322104336,5
229,0,0,1,1,1,0,0,1,0,1,21.592006322104336,5
228,0,0,1,1,1,0,0,1,0,0,21.495622531596325,6
227,0,0,1,1,1,0,0,0,1,1,21.591888938886093,5
226,0,0,1,1,1,0,0,0,1,0,21.495758132245744,6
225,0,0,1,1,1,0,0,0,0,1,21.495758132245744,6
224,0,0,1,1,1,0,0,0,0,0,19.333333333333332,10
223,0,0,1,1,0,1,1,1,1,1,18.333333333333332,1
222,0,0,1,1,0,1,1,1,1,0,20.83333333333333,1
221,0,0,1,1,0,1,1,1,0,1,20.83333333333333,1
220,0,0,1,1,0,1,1,1,0,0,21.58354469231292,5
219,0,0,1,1,0,1,1,0,1,1,20.83333333333333,1
218,0,0,1,1,0,1,1,0,1,0,21.583428894739313,5
217,0,0,1,1,0,1,1,0,0,1,21.583428894739313,5
216,0,0,1,1,0,1,1,0,0,0,21.491346917531597,6
215,0,0,1,1,0,1,0,1,1,1,20.83333333333333,1
214,0,0,1,1,0,1,0,1,1,0,21.582737605676172,5
213,0,0,1,1,0,1,0,1,0,1,21.582737605676172,5
212,0,0,1,1,0,1,0,1,0,0,21.491905450172585,6
211,0,0,1,1,0,1,0,0,1,1,21.582621762539308,5
210,0,0,1,1,0,1,0,0,1,0,21.492040922164215,6
209,0,0,1,1,0,1,0,0,0,1,21.492040922164215,6
208,0,0,1,1,0,1,0,0,0,0,19.333333333333332,10
207,0,0,1,1,0,0,1,1,1,1,20.83333333333333,1
206,0,0,1,1,0,0,1,1,1,0,21.581183569828106,5
205,0,0,1,1,0,0,1,1,0,1,21.581183569828106,5
204,0,0,1,1,0,0,1,1,0,0,21.491810050778273,6
203,0,0,1,1,0,0,1,0,1,1,21.58106753186829,5
202,0,0,1,1,0,0,1,0,1,0,21.491945758662077,6
201,0,0,1,1,0,0,1,0,0,1,21.491945758662077,6
200,0,0,1,1,0,0,1,0,0,0,19.333333333333332,10
199,0,0,1,1,0,0,0,1,1,1,21.58054466518411,5
198,0,0,1,1,0,0,0,1,1,0,21.492099024287988,6
197,0,0,1,1,0,0,0,1,0,1,21.492099024287988,6
196,0,0,1,1,0,0,0,1,0,0,19.333333333333332,10
195,0,0,1,1,0,0,0,0,1,1,21.492234841693154,6
194,0,0,1,1,0,0,0,0,1,0,19.333333333333332,10
193,0,0,1,1,0,0,0,0,0,1,19.333333333333332,10
192,0,0,1,1,0,0,0,0,0,0,16.0,10
191,0,0,1,0,1,1,1,1,1,1,18.333333333333332,1
190,0,0,1,0,1,1,1,1,1,0,20.83333333333333,1
189,0,0,1,0,1,1,1,1,0,1,20.83333333333333,1
188,0,0,1,0,1,1,1,1,0,0,21.541157146604373,5
187,0,0,1,0,1,1,1,0,1,1,20.83333333333333,1
186,0,0,1,0,1,1,1,0,1,0,21.54104618167113,5
185,0,0,1,0,1,1,1,0,0,1,21.54104618167113,5
184,0,0,1,0,1,1,1,0,0,0,21.486743092765256,6
183,0,0,1,0,1,1,0,1,1,1,20.83333333333333,1
182,0,0,1,0,1,1,0,1,1,0,21.540452749935586,5
181,0,0,1,0,1,1,0,1,0,1,21.540452749935586,5
180,0,0,1,0,1,1,0,1,0,0,21.487127430367376,6
179,0,0,1,0,1,1,0,0,1,1,21.540341740474343,5
178,0,0,1,0,1,1,0,0,1,0,21.48725928730607,6
177,0,0,1,0,1,1,0,0,0,1,21.48725928730607,6
176,0,0,1,0,1,1,0,0,0,0,19.333333333333332,10
175,0,0,1,0,1,0,1,1,1,1,20.83333333333333,1
174,0,0,1,0,1,0,1,1,1,0,21.539018567627544,5
173,0,0,1,0,1,0,1,1,0,1,21.539018567627544,5
172,0,0,1,0,1,0,1,1,0,0,21.48737856738887,6
171,0,0,1,0,1,0,1,0,1,1,21.538907364375074,5
170,0,0,1,0,1,0,1,0,1,0,21.48751065540871,6
169,0,0,1,0,1,0,1,0,0,1,21.48751065540871,6
168,0,0,1,0,1,0,1,0,0,0,19.333333333333332,10
167,0,0,1,0,1,0,0,1,1,1,21.5384789107411,5
166,0,0,1,0,1,0,0,1,1,0,21.487497991436275,6
165,0,0,1,0,1,0,0,1,0,1,21.487497991436275,6
164,0,0,1,0,1,0,0,1,0,0,19.333333333333332,10
163,0,0,1,0,1,0,0,0,1,1,21.487630186743786,6
162,0,0,1,0,1,0,0,0,1,0,19.333333333333332,10
161,0,0,1,0,1,0,0,0,0,1,19.333333333333332,10
