,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.344862524561574,All
937,1,1,1,0,1,0,1,0,0,1,20.83333333333333,1
936,1,1,1,0,1,0,1,0,0,0,22.83333333333333,1
935,1,1,1,0,1,0,0,1,1,1,18.333333333333332,1
934,1,1,1,0,1,0,0,1,1,0,20.83333333333333,1
933,1,1,1,0,1,0,0,1,0,1,20.83333333333333,1
932,1,1,1,0,1,0,0,1,0,0,22.83333333333333,1
931,1,1,1,0,1,0,0,0,1,1,20.83333333333333,1
930,1,1,1,0,1,0,0,0,1,0,22.83333333333333,1
929,1,1,1,0,1,0,0,0,0,1,22.83333333333333,1
928,1,1,1,0,1,0,0,0,0,0,23.833333333333346,2
927,1,1,1,0,0,1,1,1,1,1,15.0,1
926,1,1,1,0,0,1,1,1,1,0,18.333333333333332,1
925,1,1,1,0,0,1,1,1,0,1,18.333333333333332,1
924,1,1,1,0,0,1,1,1,0,0,20.83333333333333,1
923,1,1,1,0,0,1,1,0,1,1,18.333333333333332,1
922,1,1,1,0,0,1,1,0,1,0,20.83333333333333,1
921,1,1,1,0,0,1,1,0,0,1,20.83333333333333,1
920,1,1,1,0,0,1,1,0,0,0,22.83333333333333,1
919,1,1,1,0,0,1,0,1,1,1,18.333333333333332,1
918,1,1,1,0,0,1,0,1,1,0,20.83333333333333,1
917,1,1,1,0,0,1,0,1,0,1,20.83333333333333,1
916,1,1,1,0,0,1,0,1,0,0,22.83333333333333,1
915,1,1,1,0,0,1,0,0,1,1,20.83333333333333,1
914,1,1,1,0,0,1,0,0,1,0,22.83333333333333,1
913,1,1,1,0,0,1,0,0,0,1,22.83333333333333,1
912,1,1,1,0,0,1,0,0,0,0,23.833333333333343,2
911,1,1,1,0,0,0,1,1,1,1,18.333333333333332,1
910,1,1,1,0,0,0,1,1,1,0,20.83333333333333,1
909,1,1,1,0,0,0,1,1,0,1,20.83333333333333,1
908,1,1,1,0,0,0,1,1,0,0,22.83333333333333,1
907,1,1,1,0,0,0,1,0,1,1,20.83333333333333,1
906,1,1,1,0,0,0,1,0,1,0,22.83333333333333,1
905,1,1,1,0,0,0,1,0,0,1,22.83333333333333,1
904,1,1,1,0,0,0,1,0,0,0,23.77083333333333,3
