,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
1971,1,1,1,1,0,1,1,0,0,1,1,20.16666666666668,1
1970,1,1,1,1,0,1,1,0,0,1,0,22.91666666666668,1
1969,1,1,1,1,0,1,1,0,0,0,1,22.91666666666668,1
1968,1,1,1,1,0,1,1,0,0,0,0,25.11666666666668,1
1967,1,1,1,1,0,1,0,1,1,1,1,16.50000000000001,1
1966,1,1,1,1,0,1,0,1,1,1,0,20.16666666666668,1
1965,1,1,1,1,0,1,0,1,1,0,1,20.16666666666668,1
1964,1,1,1,1,0,1,0,1,1,0,0,22.91666666666668,1
1963,1,1,1,1,0,1,0,1,0,1,1,20.16666666666668,1
1962,1,1,1,1,0,1,0,1,0,1,0,22.91666666666668,1
1961,1,1,1,1,0,1,0,1,0,0,1,22.91666666666668,1
1960,1,1,1,1,0,1,0,1,0,0,0,25.11666666666668,1
1959,1,1,1,1,0,1,0,0,1,1,1,20.16666666666668,1
1958,1,1,1,1,0,1,0,0,1,1,0,22.91666666666668,1
1957,1,1,1,1,0,1,0,0,1,0,1,22.91666666666668,1
1956,1,1,1,1,0,1,0,0,1,0,0,25.11666666666668,1
1955,1,1,1,1,0,1,0,0,0,1,1,22.91666666666668,1
1954,1,1,1,1,0,1,0,0,0,1,0,25.11666666666668,1
1953,1,1,1,1,0,1,0,0,0,0,1,25.11666666666668,1
1952,1,1,1,1,0,1,0,0,0,0,0,26.583333333333353,2
1951,1,1,1,1,0,0,1,1,1,1,1,16.50000000000001,1
1950,1,1,1,1,0,0,1,1,1,1,0,20.16666666666668,1
1949,1,1,1,1,0,0,1,1,1,0,1,20.16666666666668,1
1948,1,1,1,1,0,0,1,1,1,0,0,22.91666666666668,1
1947,1,1,1,1,0,0,1,1,0,1,1,20.16666666666668,1
1946,1,1,1,1,0,0,1,1,0,1,0,22.91666666666668,1
1945,1,1,1,1,0,0,1,1,0,0,1,22.91666666666668,1
1944,1,1,1,1,0,0,1,1,0,0,0,25.11666666666668,1
1943,1,1,1,1,0,0,1,0,1,1,1,20.16666666666668,1
1942,1,1,1,1,0,0,1,0,1,1,0,22.91666666666668,1
1941,1,1,1,1,0,0,1,0,1,0,1,22.91666666666668,1
1940,1,1,1,1,0,0,1,0,1,0,0,25.11666666666668,1
1939,1,1,1,1,0,0,1,0,0,1,1,22.91666666666668,1
1938,1,1,1,1,0,0,1,0,0,1,0,25.11666666666668,1
1937,1,1,1,1,0,0,1,0,0,0,1,25.11666666666668,1
1936,1,1,1,1,0,0,1,0,0,0,0,26.583333333333353,2
1935,1,1,1,1,0,0,0,1,1,1,1,20.16666666666668,1
1934,1,1,1,1,0,0,0,1,1,1,0,22.91666666666668,1
1933,1,1,1,1,0,0,0,1,1,0,1,22.91666666666668,1
1932,1,1,1,1,0,0,0,1,1,0,0,25.11666666666668,1
1931,1,1,1,1,0,0,0,1,0,1,1,22.91666666666668,1
1930,1,1,1,1,0,0,0,1,0,1,0,25.11666666666668,1
1929,1,1,1,1,0,0,0,1,0,0,1,25.11666666666668,1
1928,1,1,1,1,0,0,0,1,0,0,0,26.583333333333357,2
1927,1,1,1,1,0,0,0,0,1,1,1,22.91666666666668,1
1926,1,1,1,1,0,0,0,0,1,1,0,25.11666666666668,1
1925,1,1,1,1,0,0,0,0,1,0,1,25.11666666666668,1
1924,1,1,1,1,0,0,0,0,1,0,0,26.58333333333335,2
1923,1,1,1,1,0,0,0,0,0,1,1,25.11666666666668,1
1922,1,1,1,1,0,0,0,0,0,1,0,26.583333333333346,2
1921,1,1,1,1,0,0,0,0,0,0,1,26.583333333333346,2
1920,1,1,1,1,0,0,0,0,0,0,0,27.6309523809524,3
1919,1,1,1,0,1,1,1,1,1,1,1,11.000000000000009,1
1918,1,1,1,0,1,1,1,1,1,1,0,16.50000000000001,1
1917,1,1,1,0,1,1,1,1,1,0,1,16.50000000000001,1
1916,1,1,1,0,1,1,1,1,1,0,0,20.16666666666668,1
1915,1,1,1,0,1,1,1,1,0,1,1,16.50000000000001,1
1914,1,1,1,0,1,1,1,1,0,1,0,20.16666666666668,1
1913,1,1,1,0,1,1,1,1,0,0,1,20.16666666666668,1
