,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.405840245791506,All
78,0,1,0,0,1,1,1,0,15.82844722052399,4
77,0,1,0,0,1,1,0,1,15.82844722052399,4
76,0,1,0,0,1,1,0,0,15.513058770264305,6
75,0,1,0,0,1,0,1,1,15.824934810171403,4
74,0,1,0,0,1,0,1,0,15.512586868611224,6
73,0,1,0,0,1,0,0,1,15.512586868611224,6
72,0,1,0,0,1,0,0,0,13.000000000000005,8
71,0,1,0,0,0,1,1,1,15.763933805970437,4
70,0,1,0,0,0,1,1,0,15.511506966161608,6
69,0,1,0,0,0,1,0,1,15.511506966161608,6
68,0,1,0,0,0,1,0,0,13.000000000000005,8
67,0,1,0,0,0,0,1,1,15.51142529535188,6
66,0,1,0,0,0,0,1,0,13.000000000000005,8
65,0,1,0,0,0,0,0,1,13.000000000000005,8
64,0,1,0,0,0,0,0,0,9.000000000000004,8
63,0,0,1,1,1,1,1,1,12.000000000000005,1
62,0,0,1,1,1,1,1,0,14.666666666666673,1
61,0,0,1,1,1,1,0,1,14.666666666666673,1
60,0,0,1,1,1,1,0,0,15.612020288044647,4
59,0,0,1,1,1,0,1,1,14.666666666666673,1
58,0,0,1,1,1,0,1,0,15.61555630804796,4
57,0,0,1,1,1,0,0,1,15.61555630804796,4
56,0,0,1,1,1,0,0,0,15.476347414221548,5
55,0,0,1,1,0,1,1,1,14.666666666666673,1
54,0,0,1,1,0,1,1,0,15.613851743733456,4
53,0,0,1,1,0,1,0,1,15.613851743733456,4
52,0,0,1,1,0,1,0,0,15.479244510156008,5
51,0,0,1,1,0,0,1,1,15.612137282518166,4
50,0,0,1,1,0,0,1,0,15.482619012940622,5
49,0,0,1,1,0,0,0,1,15.482619012940622,5
48,0,0,1,1,0,0,0,0,13.000000000000005,8
47,0,0,1,0,1,1,1,1,14.666666666666673,1
46,0,0,1,0,1,1,1,0,15.570580004909676,4
45,0,0,1,0,1,1,0,1,15.570580004909676,4
44,0,0,1,0,1,1,0,0,15.491465899295687,5
43,0,0,1,0,1,0,1,1,15.570533084246346,4
42,0,0,1,0,1,0,1,0,15.4939507690763,5
41,0,0,1,0,1,0,0,1,15.4939507690763,5
40,0,0,1,0,1,0,0,0,13.000000000000005,8
39,0,0,1,0,0,1,1,1,15.528017851449817,4
38,0,0,1,0,0,1,1,0,15.496511911190106,5
37,0,0,1,0,0,1,0,1,15.496511911190106,5
36,0,0,1,0,0,1,0,0,13.000000000000005,8
35,0,0,1,0,0,0,1,1,15.497124008164562,5
34,0,0,1,0,0,0,1,0,13.000000000000005,8
33,0,0,1,0,0,0,0,1,13.000000000000005,8
32,0,0,1,0,0,0,0,0,9.000000000000004,8
31,0,0,0,1,1,1,1,1,14.666666666666673,1
30,0,0,0,1,1,1,1,0,15.44582035575732,4
29,0,0,0,1,1,1,0,1,15.44582035575732,4
28,0,0,0,1,1,1,0,0,15.421611127391117,5
27,0,0,0,1,1,0,1,1,15.44534298369034,4
26,0,0,0,1,1,0,1,0,15.424429865888058,5
25,0,0,0,1,1,0,0,1,15.424429865888058,5
24,0,0,0,1,1,0,0,0,13.000000000000005,8
23,0,0,0,1,0,1,1,1,15.408520405473928,4
22,0,0,0,1,0,1,1,0,15.427363740408781,5
21,0,0,0,1,0,1,0,1,15.427363740408781,5
20,0,0,0,1,0,1,0,0,13.000000000000005,8
19,0,0,0,1,0,0,1,1,15.427161097419022,5
18,0,0,0,1,0,0,1,0,13.000000000000005,8
17,0,0,0,1,0,0,0,1,13.000000000000005,8
16,0,0,0,1,0,0,0,0,9.000000000000004,8
15,0,0,0,0,1,1,1,1,15.301614007919675,4
14,0,0,0,0,1,1,1,0,15.391576274169774,5
13,0,0,0,0,1,1,0,1,15.391576274169774,5
12,0,0,0,0,1,1,0,0,13.000000000000005,8
11,0,0,0,0,1,0,1,1,15.393004790984095,5
10,0,0,0,0,1,0,1,0,13.000000000000005,8
