,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
3999,1,4000.0,1,4000.0,6.25e-08,4000.4999136755437,0.9999940391390134,inf,0.00025,10871.76814460178,0.00024893099196971683,10871.8678463186,0.00025,10871.76814460178,1,4000.0,0.00025,10871.76814460178,0.00025,6872.768144601779
3998,1,6000.000000000785,1,6000.000000000785,6.25e-08,6000.749682974257,0.9999940391390134,,0.0002501563633571514,16304.93338260982,0.000249108980497044,16305.08083971336,0.0002501250625312656,16304.933425157013,1,6000.000000000785,0.00025,16304.934444695426,0.00025,10307.43413222667
3997,1,7333.333333334643,1,7333.333333334643,6.25e-08,7334.249445819248,0.9999940391390134,,0.00025028161117036127,19925.68415446647,0.0002492868125566817,19925.860280353867,0.00025025025025025025,19925.68422543356,1,7333.333333334643,0.00025,19925.68751027298,0.00025,12596.353100842343
3996,1,8333.333333335035,1,8333.333333335035,6.25e-08,8334.374205437385,0.9999940391390134,,0.0002504069923334032,22640.227608018296,0.0002494644897985322,22640.422999837,0.0002503755633450175,22640.227700358755,1,8333.333333335035,0.00025,22640.23455232889,0.00025,14312.398935293704
3995,1,9133.33333333535,1,9133.33333333535,6.25e-08,9134.47396311942,0.9999940391390134,,0.0002505325096969042,24811.04662498861,0.0002496420138692199,24811.255750983757,0.000250501002004008,24811.04673448479,1,9133.33333333535,0.00025,24811.058477516308,0.00025,15684.721203587807
3994,1,9800.00000000228,1,9800.00000000228,6.25e-08,9801.223719510723,0.9999940391390134,,0.0002506581634959719,26619.38264618811,0.00024981938640679174,26619.601908347096,0.0002506265664160401,26619.38277003844,1,9800.00000000228,0.00025,26619.40073882895,0.00025,16827.894689517765
3993,1,10371.428571431075,1,10371.428571431075,6.25e-08,10372.72347498008,0.9999940391390134,,0.00025078395396626295,28168.802209177826,0.000249996609045556,28169.02911295908,0.00025075225677031093,28168.802345389588,1,10371.428571431075,0.00025,28168.827880549663,0.00025,17807.39069792805
3992,1,10871.428571431272,1,10871.428571431272,6.25e-08,10872.785729757976,0.9999940391390134,,0.0002509098813439844,29524.034399895718,0.00025017368341654744,29524.267139110147,0.0002508780732563974,29524.03454698182,1,10871.428571431272,0.00025,29524.068992606084,0.00025,18664.12879418896
3991,1,11315.873015875892,1,11315.873015875892,6.25e-08,11317.285483998077,0.9999940391390134,,0.0002510359458658929,30728.23194226525,0.0002503506111420705,30728.469168475243,0.000251004016064257,30728.232099076045,1,11315.873015875892,0.00025,30728.27680139545,0.00025,19425.388688407515
3990,1,11715.87301587605,1,11715.87301587605,6.25e-08,11717.335237807949,0.9999940391390134,,0.00025116214776930437,31811.601743003088,0.00025052739384136426,31811.84242717373,0.00025113008538422905,31811.60190862427,1,11715.87301587605,0.00025,31811.6582151969,0.00025,20110.26617753291
3989,1,12079.509379512558,1,12079.509379512558,6.25e-08,12081.01680944763,0.9999940391390134,,0.00025128848729208706,32796.112461510194,0.00025070403312717795,32796.35580598674,0.0002512562814070352,32796.11263519942,1,12079.509379512558,0.00025,32796.18189439646,0.00025,20732.64911377761
3988,1,12412.842712846023,1,12412.842712846023,6.25e-08,12414.391562612158,0.9999940391390134,,0.00025141496467266574,33698.240592312,0.0002508805306099921,33698.48597214762,0.00025138260432378077,33698.24077345606,1,12412.842712846023,0.00025,33698.32433411824,0.00025,21302.953386196434
3987,1,12720.535020538451,1,12720.535020538451,6.25e-08,12722.122084759249,0.9999940391390134,,0.00025154158015002403,34530.660361942755,0.00025105688789211486,34530.90728429239,0.00025150905432595576,34530.660550026994,1,12720.535020538451,0.00025,34530.75976122829,0.00025,21829.191217042808
3986,1,13006.24930625285,1,13006.24930625285,6.25e-08,13007.871837462826,0.9999940391390134,,0.00025166833396371316,35303.330091227894,0.00025123310657025773,35303.57816635463,0.0002516356316054353,35303.33028581636,1,13006.24930625285,0.00025,35303.446496694116,0.00025,22317.6579237121
3985,1,13272.915972919622,1,13272.915972919622,6.25e-08,13274.571589982028,0.9999940391390134,,0.0002517952263538406,36024.21643680736,0.0002514091882390271,36024.46535682864,0.00025176233635448137,36024.21663752611,1,13272.915972919622,0.00025,36024.35119715778,0.00025,22773.38976003723
3984,1,13522.91597291972,1,13522.91597291972,6.25e-08,13524.6025923399,0.9999940391390134,,0.0002519222575610777,36699.79230718132,0.0002515851344848109,36700.04183013852,0.00025188916876574307,36699.79251370736,1,13522.91597291972,0.00025,36699.94677101747,0.00025,23200.478682179328
3983,1,13758.210090566872,1,13758.210090566872,6.25e-08,13759.925873967186,0.9999940391390134,,0.0002520494278266653,37335.38833286087,0.00025176094688981554,37335.63827054511,0.00025201612903225806,37335.38854491326,1,13758.210090566872,0.00025,37335.563848602505,0.00025,23602.294536315287
3982,1,13980.432312789182,1,13980.432312789182,6.25e-08,13982.175626056183,0.9999940391390134,,0.0002521767373924086,37935.44670592143,0.00025193662703292175,37935.696914412496,0.0002521432173474534,37935.44692325398,1,13980.432312789182,0.00025,37935.64462174445,0.00025,23981.645527523262
3981,1,14190.958628578737,1,14190.958628578737,6.25e-08,14192.728009610919,0.9999940391390134,,0.0002523041865006815,38503.70821967277,0.0002521121764841428,38503.95859187735,0.0002522704339051463,38503.708442069015,1,14190.958628578737,0.00025,38503.92988346086,0.00025,24340.89646001399
3980,1,14390.958628578817,1,14390.958628578817,6.25e-08,14392.752761484824,0.9999940391390134,,0.00025243177539443834,39043.35254841263,0.0002522875968124084,39043.60300810131,0.0002523977788995457,39043.35277568089,1,14390.958628578817,0.00025,39043.59930771819,0.00025,24682.057417304364
3979,1,14581.43481905508,1,14581.43481905508,6.25e-08,14583.252513266549,0.9999940391390134,,0.0002525595043171876,39557.10512723821,0.00025246288957889867,39557.35562422492,0.0002525252525252525,39557.10535920878,1,14581.43481905508,0.00025,39557.378329251216,0.00025,25006.85132806396
3978,1,14763.253000873336,1,14763.253000873336,6.25e-08,14765.09317405538,0.9999940391390134,,0.00025268737351303666,40047.319740991596,0.00025263805633930563,40047.57024719545,0.00025265285497726126,40047.31997751339,1,14763.253000873336,0.00025,40047.620732514275,0.00025,25316.766176087316
3977,1,14937.166044351665,1,14937.166044351665,6.25e-08,14939.02770828549,0.9999940391390134,,0.0002528153832266492,40516.04315908721,0.0002528130986456655,40516.29366528438,0.0002527805864509606,40516.043400025614,1,14937.166044351665,0.00025,40516.37328651275,0.00025,25613.09586027223
