,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],static-(1+1)-opt,T[static-(1+1)-opt],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
1499,1,1500.0,1,1500.0,4.4444444444444444e-07,1500.4997778810464,5.9608609865491405e-06,1506.7215294546502,0.0006666666666666666,4076.063526241561,0.0006651803381039627,4076.073678412792,0.0006666666666666666,4076.063526241561,1,1500.0,0.0006666666666666666,4076.063526241561,0.0006666666666666666,2577.063526241561,0.0007357023189190562,4096.5835587843685,0.0003333333333333333,1945.9272425182057,0.0006666666666666666,2577.063526241561,0.0003333333333333333,1945.9272425182057,0.0006666666666666666,2577.063526241561,0.0003333333333333333,1945.9272425182057
1498,1,2249.9999999993133,1,2249.9999999993133,4.4444444444444444e-07,2250.7491665438656,5.9608609865491405e-06,2260.0755380942473,0.0006677799297577836,6111.375532900728,0.0006678794101722743,6111.385704279327,0.0006675567423230974,6111.375646679613,1,2249.9999999993133,0.0006666666666666666,6111.378366272095,0.0006666666666666666,3863.877533160947,0.0007357023189190562,6141.784062368788,0.0003333333333333333,2918.323335430907,0.0006666666666666666,3863.877533160947,0.0003333333333333333,2918.323335430907,0.0006666666666666666,3863.877533160947,0.0003333333333333333,2918.323335430907
1497,1,2749.999999998855,1,2749.999999998855,4.4444444444444444e-07,2750.915203282362,5.9608609865491405e-06,2762.308536740699,0.0006686735311203237,7466.890405119301,0.0006686229563930046,7466.90058036225,0.0006684491978609625,7466.890595148702,1,2749.999999998855,0.0006666666666666666,7466.89935585268,0.0006666666666666666,4720.89648755493,0.0007357023189190562,7503.696132952781,0.0003333333333333333,3566.317419392958,0.0006666666666666666,4720.89648755493,0.0003333333333333333,3566.317419392958,0.0006666666666666666,4720.89648755493,0.0003333333333333333,3566.317419392958
1496,1,3124.9999999985116,1,3124.9999999985116,4.4444444444444444e-07,3126.039564058834,5.9608609865491405e-06,3138.981030415275,0.0006695696782436121,8482.506481577524,0.0006693738761026499,8482.51670025044,0.0006693440428380187,8482.506729209757,1,3124.9999999985116,0.0006666666666666666,8482.524999567511,0.0006666666666666666,5363.0189142253685,0.0007357023189190562,8523.966035514952,0.0003333333333333333,4052.1106382870275,0.0006666666666666666,5363.0189142253685,0.0003333333333333333,4052.1106382870275,0.0006666666666666666,5363.0189142253685,0.0003333333333333333,4052.1106382870275
1495,1,3424.9999999982365,1,3424.9999999982365,4.4444444444444444e-07,3426.1389192582096,5.9608609865491405e-06,3440.3172211282686,0.0006704684330833751,9294.18315766055,0.0006701321082678129,9294.19347839616,0.0006702412868632708,9294.183451791292,1,3424.9999999982365,0.0006666666666666666,9294.214756843474,0.0006666666666666666,5876.204259505925,0.0007357023189190562,9339.252345868801,0.0003333333333333333,4440.583456763447,0.0006666666666666666,5876.204259505925,0.0003333333333333333,4440.583456763447,0.0006666666666666666,5876.204259505925,0.0003333333333333333,4440.583456763447
1494,1,3674.9999999980073,1,3674.9999999980073,4.4444444444444444e-07,3676.2216040729536,5.9608609865491405e-06,3691.429209884823,0.000671369807685635,9969.90013069093,0.0006708975928686575,9969.91061836563,0.0006711409395973154,9969.900463989035,1,3674.9999999980073,0.0006666666666666666,9969.948355039469,0.0006666666666666666,6303.43224507478,0.0007357023189190562,10017.884348481897,0.0003333333333333333,4764.176107053436,0.0006666666666666666,6303.43224507478,0.0003333333333333333,4764.176107053436,0.0006666666666666666,6303.43224507478,0.0003333333333333333,4764.176107053436
1493,1,3889.2857142835255,1,3889.2857142835255,4.4444444444444444e-07,3890.5780957559014,5.9608609865491405e-06,3906.6667686878795,0.0006722738141729617,10548.50294167694,0.0006716702708961642,10548.513662091354,0.0006720430107526882,10548.503308968602,1,3889.2857142835255,0.0006666666666666666,10548.571350633556,0.0006666666666666666,6669.26271061836,0.0007357023189190562,10598.907345825382,0.0003333333333333333,5041.425864637259,0.0006666666666666666,6669.26271061836,0.0003333333333333333,5041.425864637259,0.0006666666666666666,6669.26271061836,0.0003333333333333333,5041.425864637259
1492,1,4076.7857142833536,1,4076.7857142833536,4.4444444444444444e-07,4078.139942590076,5.9608609865491405e-06,4094.9985050392756,0.0006731804647453823,11054.270053468348,0.000672450084352369,11054.281070834266,0.0006729475100942127,11054.270450929222,1,4076.7857142833536,0.0006666666666666666,11054.362214668123,0.0006666666666666666,6989.045554830203,0.0007357023189190562,11106.724649380027,0.0003333333333333333,5283.918526619798,0.0006666666666666666,6989.045554830203,0.0003333333333333333,5283.918526619798,0.0006666666666666666,6989.045554830203,0.0003333333333333333,5283.918526619798
1491,1,4243.452380949868,1,4243.452380949868,4.4444444444444444e-07,4244.861510097494,5.9608609865491405e-06,4262.403490606902,0.0006740897716809919,11503.387107714556,0.0006732369762459615,11503.398483383688,0.0006738544474393531,11503.387532421373,1,4243.452380949868,0.0006666666666666666,11503.50659294776,0.0006666666666666666,7273.014042521604,0.0007357023189190562,11557.60513119446,0.0003333333333333333,5499.377957675227,0.0006666666666666666,7273.014042521604,0.0003333333333333333,5499.377957675227,0.0006666666666666666,7273.014042521604,0.0003333333333333333,5499.377957675227
1490,1,4393.4523809497305,1,4393.4523809497305,4.4444444444444444e-07,4394.910854143566,5.9608609865491405e-06,4413.067075558285,0.0006750017473366074,11907.184053343477,0.0006740308905899143,11907.195845151638,0.0006747638326585695,11907.184503004855,1,4393.4523809497305,0.0006666666666666666,11907.334436138146,0.0006666666666666666,7528.331458176883,0.0007357023189190562,11962.936999664265,0.0003333333333333333,5693.210863019375,0.0006666666666666666,7528.331458176883,0.0003333333333333333,5693.210863019375,0.0006666666666666666,7528.331458176883,0.0003333333333333333,5693.210863019375
