,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],static-(1+1)-opt,T[static-(1+1)-opt],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
999,1,1000.0,1,1000.0,1e-06,1000.4996667370093,5.9608609865491405e-06,1002.9833808937664,0.001,2716.9225742264093,0.000999565648862125,2716.9228308458587,0.001,2716.9225742264093,1,1000.0,0.001,2716.9225742264093,0.001,1717.9225742264098,0.0011106254326500608,2732.4757926705133,0.0005,1297.2059574997888,0.001,1717.9225742264098,0.0005,1297.2059574997888,0.001,1717.9225742264098,0.0005,1297.2059574997888
998,1,1499.9999999999998,1,1499.9999999999998,1e-06,1500.7487494807642,5.9608609865491405e-06,1504.470578452258,0.0010025072694096423,4072.6633658858905,0.0010016375354217695,4072.6641333905186,0.001002004008016032,4072.663536942886,1,1499.9999999999998,0.001,4072.6676173164606,0.001,2575.166367816336,0.0011106254326500608,4095.595941620969,0.0005,1945.2414592760956,0.001,2575.166367816336,0.0005,1945.2414592760956,0.001,2575.166367816336,0.0005,1945.2414592760956
997,1,1833.3333333333333,1,1833.3333333333333,1e-06,1834.2478043110182,5.9608609865491405e-06,1838.7933780411574,0.0010045232098571154,4975.130429755205,0.0010049997481282988,4975.131298315058,0.001004016064257028,4975.130715750337,1,1833.3333333333333,0.001,4975.143858171792,0.001,3145.8062239446635,0.0011106254326500608,5002.775500556261,0.0005,2376.9953103280513,0.001,3145.8062239446635,0.0005,2376.9953103280513,0.001,3145.8062239446635,0.0005,2376.9953103280513
996,1,2083.3333333333335,1,2083.3333333333335,1e-06,2084.371845184981,5.9608609865491405e-06,2089.533978661665,0.0010065477887578908,5650.960285389347,0.0010049997481282988,5650.9619539072155,0.001006036217303823,5650.960658528137,1,2083.3333333333335,0.001,5650.988062233529,0.001,3573.1456063149258,0.0011106254326500608,5681.9878840381725,0.0005,2700.608544943122,0.001,3573.1456063149258,0.0005,2700.608544943122,0.001,3573.1456063149258,0.0005,2700.608544943122
995,1,2283.3333333333335,1,2283.3333333333335,1e-06,2284.4708776855696,5.9608609865491405e-06,2290.12525991545,0.0010085812369919644,6190.807630098476,0.0010083330963681874,6190.8093133375905,0.0010080645161290322,6190.808073898762,1,2283.3333333333335,0.001,6190.855019976021,0.001,3914.505953710485,0.0011106254326500608,6224.422560837194,0.0005,2959.337587399447,0.001,3914.505953710485,0.0005,2959.337587399447,0.001,3914.505953710485,0.0005,2959.337587399447
994,1,2450.0000000000005,1,2450.0000000000005,1e-06,2451.2199046042424,5.9608609865491405e-06,2457.2836616033446,0.0010106236163000735,6639.999811694344,0.0010116664446575174,6640.001733626788,0.00101010101010101,6640.000315334519,1,2450.0000000000005,0.001,6640.0721213608,0.001,4198.547982187207,0.0011106254326500608,6675.6742574409855,0.0005,3174.8106496251,0.001,4198.547982187207,0.0005,3174.8106496251,0.001,4198.547982187207,0.0005,3174.8106496251
993,1,2592.8571428571436,1,2592.8571428571436,1e-06,2594.1474989646895,5.9608609865491405e-06,2600.5614350401115,0.0010126749890152023,7024.438171055103,0.0010122035290965254,7024.440133876175,0.0010121457489878543,7024.438726952521,1,2592.8571428571436,0.001,7024.540727576418,0.001,4441.649240929274,0.0011106254326500608,7061.797096532779,0.0005,3359.3867096841714,0.001,4441.649240929274,0.0005,3359.3867096841714,0.001,4441.649240929274,0.0005,3359.3867096841714
992,1,2717.8571428571436,1,2717.8571428571436,1e-06,2719.209018906718,5.9608609865491405e-06,2725.928737297477,0.0010147354180718663,7360.311045587244,0.0010143155393978723,7360.313036964658,0.0010141987829614604,7360.311648187998,1,2717.8571428571436,0.001,7360.449185440903,0.001,4654.045695695119,0.0011106254326500608,7399.07489892076,0.0005,3520.790128709039,0.001,4654.045695695119,0.0005,3520.790128709039,0.001,4654.045695695119,0.0005,3520.790128709039
991,1,2828.9682539682544,1,2828.9682539682544,1e-06,2830.3747031901994,5.9608609865491405e-06,2837.3656730899243,0.0010168049670134479,7658.410659653169,0.0010147480936914326,7658.413260106191,0.0010162601626016261,7658.411304760156,1,2828.9682539682544,0.001,7658.589722691651,0.001,4842.561321460012,0.0011106254326500608,7698.363539950984,0.0005,3664.170480648054,0.001,4842.561321460012,0.0005,3664.170480648054,0.001,4842.561321460012,0.0005,3664.170480648054
990,1,2928.9682539682544,1,2928.9682539682544,1e-06,2930.4237189470427,5.9608609865491405e-06,2937.6583157175914,0.0010188836999997573,7926.291569784876,0.0010167879474338015,7926.294733190832,0.0010183299389002036,7926.292254155159,1,2928.9682539682544,0.001,7926.5168956303305,0.001,5011.972898737319,0.0011106254326500608,7967.262127713708,0.0005,3793.132467139375,0.001,5011.972898737319,0.0005,3793.132467139375,0.001,5011.972898737319,0.0005,3793.132467139375
989,1,3019.877344877346,1,3019.877344877346,1e-06,3021.3772786368186,5.9608609865491405e-06,3028.832900307854,0.0010209716818146777,8169.447998436768,0.0010188408348911658,8169.451687401599,0.0010204081632653062,8169.448719525807,1,3019.877344877346,0.001,8169.724924201827,0.001,5165.754447935513,0.0011106254326500608,8211.297282064916,0.0005,3910.2976892603374,0.001,5165.754447935513,0.0005,3910.2976892603374,0.001,5165.754447935513,0.0005,3910.2976892603374
988,1,3103.2106782106794,1,3103.2106782106794,1e-06,3104.7512916042056,5.9608609865491405e-06,3112.409103206241,0.0010230689778739153,8392.000612008276,0.0010209066111200652,8392.004793797618,0.0010224948875255625,8392.001367799698,1,3103.2106782106794,0.001,8392.33447079029,0.001,5306.511482733061,0.0011106254326500608,8434.61396405544,0.0005,4017.63234771458,0.001,5306.511482733061,0.0005,4017.63234771458,0.001,5306.511482733061,0.0005,4017.63234771458
987,1,3180.133755133756,1,3180.133755133756,1e-06,3181.7118419604944,5.9608609865491405e-06,3189.5559062170064,0.0010251756542328612,8597.11915347296,0.0010229851409101947,8597.123798986202,0.0010245901639344263,8597.119942361145,1,3180.133755133756,0.001,8597.515273324301,0.001,5436.248242924484,0.0011106254326500608,8640.400601733429,0.0005,4116.648904485669,0.001,5436.248242924484,0.0005,4116.648904485669,0.001,5436.248242924484,0.0005,4116.648904485669
