,Binary Representation,Expected Time,k-opt
Expected Time General,NaN,20.36377245860318,All
1023,#1111111111,0.0,0
1022,#1111111110,10.0,1
1021,#1111111101,10.0,1
1020,#1111111100,15.0,1
1019,#1111111011,10.0,1
1018,#1111111010,15.0,1
1017,#1111111001,15.0,1
1016,#1111111000,18.333333333333332,1
1015,#1111110111,10.0,1
1014,#1111110110,15.0,1
1013,#1111110101,15.0,1
1012,#1111110100,18.333333333333332,1
1011,#1111110011,15.0,1
1010,#1111110010,18.333333333333332,1
1009,#1111110001,18.333333333333332,1
1008,#1111110000,20.83333333333333,1
1007,#1111101111,10.0,1
1006,#1111101110,15.0,1
1005,#1111101101,15.0,1
1004,#1111101100,18.333333333333332,1
1003,#1111101011,15.0,1
1002,#1111101010,18.333333333333332,1
1001,#1111101001,18.333333333333332,1
1000,#1111101000,20.83333333333333,1
999,#1111100111,15.0,1
998,#1111100110,18.333333333333332,1
997,#1111100101,18.333333333333332,1
996,#1111100100,20.83333333333333,1
995,#1111100011,18.333333333333332,1
994,#1111100010,20.83333333333333,1
993,#1111100001,20.83333333333333,1
992,#1111100000,22.83333333333333,1
991,#1111011111,10.0,1
990,#1111011110,15.0,1
989,#1111011101,15.0,1
988,#1111011100,18.333333333333332,1
987,#1111011011,15.0,1
986,#1111011010,18.333333333333332,1
985,#1111011001,18.333333333333332,1
984,#1111011000,20.83333333333333,1
983,#1111010111,15.0,1
982,#1111010110,18.333333333333332,1
981,#1111010101,18.333333333333332,1
980,#1111010100,20.83333333333333,1
979,#1111010011,18.333333333333332,1
978,#1111010010,20.83333333333333,1
977,#1111010001,20.83333333333333,1
976,#1111010000,22.83333333333333,1
975,#1111001111,15.0,1
974,#1111001110,18.333333333333332,1
973,#1111001101,18.333333333333332,1
972,#1111001100,20.83333333333333,1
971,#1111001011,18.333333333333332,1
970,#1111001010,20.83333333333333,1
969,#1111001001,20.83333333333333,1
968,#1111001000,22.83333333333333,1
967,#1111000111,18.333333333333332,1
966,#1111000110,20.83333333333333,1
965,#1111000101,20.83333333333333,1
964,#1111000100,22.83333333333333,1
963,#1111000011,20.83333333333333,1
962,#1111000010,22.83333333333333,1
961,#1111000001,22.83333333333333,1
960,#1111000000,23.833333333333343,2
959,#1110111111,10.0,1
958,#1110111110,15.0,1
957,#1110111101,15.0,1
956,#1110111100,18.333333333333332,1
955,#1110111011,15.0,1
954,#1110111010,18.333333333333332,1
953,#1110111001,18.333333333333332,1
952,#1110111000,20.83333333333333,1
951,#1110110111,15.0,1
950,#1110110110,18.333333333333332,1
949,#1110110101,18.333333333333332,1
948,#1110110100,20.83333333333333,1
947,#1110110011,18.333333333333332,1
946,#1110110010,20.83333333333333,1
945,#1110110001,20.83333333333333,1
944,#1110110000,22.83333333333333,1
943,#1110101111,15.0,1
942,#1110101110,18.333333333333332,1
941,#1110101101,18.333333333333332,1
940,#1110101100,20.83333333333333,1
939,#1110101011,18.333333333333332,1
938,#1110101010,20.83333333333333,1
937,#1110101001,20.83333333333333,1
936,#1110101000,22.83333333333333,1
935,#1110100111,18.333333333333332,1
934,#1110100110,20.83333333333333,1
933,#1110100101,20.83333333333333,1
932,#1110100100,22.83333333333333,1
931,#1110100011,20.83333333333333,1
930,#1110100010,22.83333333333333,1
929,#1110100001,22.83333333333333,1
928,#1110100000,23.833333333333346,2
927,#1110011111,15.0,1
926,#1110011110,18.333333333333332,1
925,#1110011101,18.333333333333332,1
924,#1110011100,20.83333333333333,1
923,#1110011011,18.333333333333332,1
922,#1110011010,20.83333333333333,1
921,#1110011001,20.83333333333333,1
920,#1110011000,22.83333333333333,1
919,#1110010111,18.333333333333332,1
918,#1110010110,20.83333333333333,1
917,#1110010101,20.83333333333333,1
916,#1110010100,22.83333333333333,1
915,#1110010011,20.83333333333333,1
914,#1110010010,22.83333333333333,1
913,#1110010001,22.83333333333333,1
912,#1110010000,23.833333333333343,2
911,#1110001111,18.333333333333332,1
910,#1110001110,20.83333333333333,1
909,#1110001101,20.83333333333333,1
908,#1110001100,22.83333333333333,1
907,#1110001011,20.83333333333333,1
906,#1110001010,22.83333333333333,1
905,#1110001001,22.83333333333333,1
904,#1110001000,23.77083333333333,3
903,#1110000111,20.83333333333333,1
902,#1110000110,22.83333333333333,1
901,#1110000101,22.83333333333333,1
900,#1110000100,23.715686274509803,3
899,#1110000011,22.83333333333333,1
898,#1110000010,23.690476190476193,3
897,#1110000001,23.690476190476193,3
896,#1110000000,24.26190476190476,3
895,#1101111111,10.0,1
894,#1101111110,15.0,1
893,#1101111101,15.0,1
892,#1101111100,18.333333333333332,1
891,#1101111011,15.0,1
890,#1101111010,18.333333333333332,1
889,#1101111001,18.333333333333332,1
888,#1101111000,20.83333333333333,1
887,#1101110111,15.0,1
886,#1101110110,18.333333333333332,1
885,#1101110101,18.333333333333332,1
884,#1101110100,20.83333333333333,1
883,#1101110011,18.333333333333332,1
882,#1101110010,20.83333333333333,1
881,#1101110001,20.83333333333333,1
880,#1101110000,22.83333333333333,1
879,#1101101111,15.0,1
878,#1101101110,18.333333333333332,1
877,#1101101101,18.333333333333332,1
876,#1101101100,20.83333333333333,1
875,#1101101011,18.333333333333332,1
874,#1101101010,20.83333333333333,1
873,#1101101001,20.83333333333333,1
872,#1101101000,22.83333333333333,1
871,#1101100111,18.333333333333332,1
870,#1101100110,20.83333333333333,1
869,#1101100101,20.83333333333333,1
868,#1101100100,22.83333333333333,1
867,#1101100011,20.83333333333333,1
866,#1101100010,22.83333333333333,1
865,#1101100001,22.83333333333333,1
864,#1101100000,23.833333333333343,2
863,#1101011111,15.0,1
862,#1101011110,18.333333333333332,1
861,#1101011101,18.333333333333332,1
860,#1101011100,20.83333333333333,1
859,#1101011011,18.333333333333332,1
858,#1101011010,20.83333333333333,1
857,#1101011001,20.83333333333333,1
856,#1101011000,22.83333333333333,1
855,#1101010111,18.333333333333332,1
854,#1101010110,20.83333333333333,1
853,#1101010101,20.83333333333333,1
852,#1101010100,22.83333333333333,1
851,#1101010011,20.83333333333333,1
850,#1101010010,22.83333333333333,1
849,#1101010001,22.83333333333333,1
848,#1101010000,23.731292517006803,3
847,#1101001111,18.333333333333332,1
