	Expected time	p^*
Expected Time General	7187.909525266333	All
1	1358.781546565009	1
2	2034.9496006880895	1
3	2484.3671668974844	1
4	2820.4087911450833	1
5	3088.4244684046216	1
6	3311.08919265751	1
7	3501.36010026835	1
8	3667.3353987521823	1
9	3814.4138906702815	1
10	3946.3747355773294	1
11	4065.966411082932	1
12	4175.250273470209	1
13	4275.811979614389	1
14	4368.897401072792	1
15	4455.503233477661	1
16	4536.439290493226	1
17	4612.372476020232	1
18	4683.858541898754	1
19	4751.365488320347	1
20	4815.291114136736	1
21	4875.976388523148	1
22	4933.715783626849	1
23	4988.765360987331	1
24	5041.349173285217	1
25	5091.6643857410045	1
26	5139.8854126290535	1
27	5186.167287770067	1
28	5230.648433149543	1
29	5273.452950187853	1
30	5314.692529131589	1
31	5354.468050478186	1
32	5392.8709361776	1
33	5429.9842961060895	1
34	5465.883905940525	1
35	5500.639045336033	1
36	5534.313219689686	1
37	5566.964784368211	1
38	5598.647486800114	1
39	5629.410939068428	1
40	5659.301031429024	1
41	5688.360295399468	1
42	5716.628223622687	1
43	5744.141552536765	1
44	5770.934512922827	1
45	5797.039052613904	1
46	5822.485034995914	1
47	5847.300416391148	1
48	5871.511404963931	1
49	5895.142603411042	1
50	5918.217137382671	1
51	5940.756771312741	1
52	5962.782013111268	1
53	5984.3122089796925	1
54	6005.365629446622	1
55	6025.959547581723	1
56	6046.110310225819	1
57	6065.833402972312	1
58	6085.14350954634	1
59	6104.054566151375	1
60	6122.579811286499	1
61	6140.7318314798595	1
62	6158.522603333492	1
63	6175.96353223081	1
64	6193.0654880196025	1
65	6209.838837949707	1
66	6226.293477114963	1
67	6242.438856622869	1
68	6258.284009692465	1
69	6273.837575860551	1
70	6289.1078234584065	1
71	6304.102670505112	1
72	6318.829704149419	1
73	6333.296198779467	1
74	6347.509132908325	1
75	6361.475204933242	1
76	6375.200847857604	1
77	6388.69224305629	1
78	6401.955333158082	1
79	6414.995834112119	1
80	6427.819246499587	1
81	6440.430866146563	1
82	6452.835794089046	1
83	6465.038945937114	1
84	6477.045060680945	1
85	6488.858708978245	1
86	6500.484300959106	1
87	6511.926093581614	1
88	6523.188197568829	1
89	6534.274583955298	1
90	6545.189090269122	1
91	6555.935426373576	1
92	6566.517179990493	1
93	6576.937821925858	1
94	6587.200711016656	1
95	6597.309098816498	1
96	6607.2661340363575	1
97	6617.0748667555345	1
98	6626.738252416874	1
99	6636.259155619275	1
100	6645.640353719662	1
101	6654.884540255675	1
102	6663.994328199594	1
103	6672.972253053303	1
104	6681.820775793445	1
105	6690.54228567527	1
106	6699.139102903188	1
107	6707.613481175367	1
108	6715.9676101094865	1
109	6724.203617556032	1
110	6732.32357180526	1
111	6740.3294836936	1
112	6748.223308614766	1
113	6756.006948440669	1
114	6763.682253356772	1
115	6771.251023616415	1
116	6778.715011218156	1
117	6786.075921510109	1
118	6793.335414724956	1
119	6800.495107449048	1
120	6807.556574028911	1
121	6814.521347918199	1
122	6821.390922967985	1
123	6828.166754663161	1
124	6834.850261307473	1
125	6841.442825159698	1
126	6847.945793523181	1
127	6854.36047979101	1
128	6860.688164448815	1
129	6866.9300960371775	1
130	6873.087492075505	1
131	6879.161539949132	1
132	6885.153397761316	1
133	6891.064195151717	1
134	6896.895034082837	1
135	6902.6469895959435	1
136	6908.321110537786	1
137	6913.918420259389	1
138	6919.439917288328	1
139	6924.886575975431	1
140	6930.25934711736	1
141	6935.559158555936	1
142	6940.786915755396	1
143	6945.943502358598	1
144	6951.029780723113	1
145	6956.046592438224	1
146	6960.994758823723	1
147	6965.875081411409	1
148	6970.688342410173	1
149	6975.43530515553	1
150	6980.116714544357	1
151	6984.733297455763	1
152	6989.285763158746	1
153	6993.774803707485	1
154	6998.201094324992	1
155	7002.565293775802	1
156	7006.868044728468	1
157	7011.109974108469	1
158	7015.291693442244	1
159	7019.4137991929	1
160	7023.476873088244	1
