	Expected time	p^*
Expected Time General	175192.99023455285	All
1	21745.8954726068	1
2	32615.62465092099	1
3	39860.751506060755	1
4	45293.577157065665	1
5	49639.022062867014	1
6	53259.546452910996	1
7	56362.27045830512	1
8	59076.64416097985	1
9	61488.967615546804	1
10	63659.65086022419	1
11	65632.62846825915	1
12	67440.8513695765	1
13	69109.66643334524	1
14	70658.98905676414	1
15	72104.75155758708	1
16	73459.89894398276	1
17	74735.0918109109	1
18	75939.21398749972	1
19	77079.74659301127	1
20	78163.04857881363	1
21	79194.5704746479	1
22	80179.0195561951	1
23	81120.48910665401	1
24	82022.5607488199	1
25	82888.38631074883	1
26	83720.75394802679	1
27	84522.1420211716	1
28	85294.76335207064	1
29	86040.60184999983	1
30	86761.44303330586	1
31	87458.8996282331	1
32	88134.43316793995	1
33	88789.37231893031	1
34	89424.9285124266	1
35	90042.20934268672	1
36	90642.23010444512	1
37	91225.9237712395	1
38	91794.14966080002	1
39	92347.70098949035	1
40	92887.3114824457	1
41	93413.66117759369	1
42	93927.38153872243	1
43	94429.05997400577	1
44	94919.24384105741	1
45	95398.44400698258	1
46	95867.13802146436	1
47	96325.77295228998	1
48	96774.7679255077	1
49	97214.51640638577	1
50	97645.38825227546	1
51	98067.73156421092	1
52	98481.87436047291	1
53	98888.12609226853	1
54	99286.77901906929	1
55	99678.1094589199	1
56	100062.37892711097	1
57	100439.83517496918	1
58	100810.71313909595	1
59	101175.23581016269	1
60	101533.61502930551	1
61	101886.05221924269	1
62	102232.73905643095	1
63	102573.85808987544	1
64	102909.58331159482	1
65	103240.08068320632	1
66	103565.50862261599	1
67	103886.01845438924	1
68	104201.75482700672	1
69	104512.85609988378	1
70	104819.45470274486	1
71	105121.67746969132	1
72	105419.64595006936	1
73	105713.47669804537	1
74	106003.28154261556	1
75	106289.1678396153	1
76	106571.23870714866	1
77	106849.5932457299	1
78	107124.32674431438	1
79	107395.53087328792	1
80	107663.29386539648	1
81	107927.70068550514	1
82	108188.83319000751	1
83	108446.77027663136	1
84	108701.58802532715	1
85	108953.35983087019	1
86	109202.15652775142	1
87	109448.04650789265	1
88	109691.09583167163	1
89	109931.36833271116	1
90	110168.9257168454	1
91	110403.82765564971	1
92	110636.13187488579	1
93	110865.89423819356	1
94	111093.16882632967	1
95	111318.00801223663	1
96	111540.4625322016	1
97	111760.58155334732	1
98	111978.41273767981	1
99	112194.00230290099	1
100	112407.39508018078	1
101	112618.6345690695	1
102	112827.76298971799	1
103	113034.8213325632	1
104	113239.84940562496	1
105	113442.88587954997	1
106	113643.9683305322	1
107	113843.13328122634	1
108	114040.41623976856	1
109	114235.85173700581	1
110	114429.473362034	1
111	114621.31379613474	1
112	114811.40484519767	1
113	114999.77747070727	1
114	115186.46181937138	1
115	115371.48725146156	1
116	115554.88236793096	1
117	115736.67503637436	1
118	115916.89241588743	1
119	116095.56098088244	1
120	116272.70654391039	1
121	116448.3542775409	1
122	116622.52873534543	1
123	116795.25387202707	1
124	116966.55306273907	1
125	117136.44912163028	1
126	117304.96431965474	1
127	117472.12040168043	1
128	117637.93860292909	1
129	117802.43966477954	1
130	117965.64384996287	1
131	118127.57095717746	1
132	118288.24033515049	1
133	118447.67089617114	1
134	118605.88112911847	1
135	118762.88911200687	1
136	118918.71252407033	1
137	119073.3686574058	1
138	119226.87442819444	1
139	119379.24638751935	1
140	119530.5007317969	1
141	119680.65331283833	1
142	119829.7196475567	1
143	119977.71492733495	1
144	120124.65402706823	1
145	120270.55151389453	1
146	120415.42165562657	1
147	120559.27842889678	1
148	120702.13552702658	1
149	120844.00636763257	1
150	120984.90409997835	1
